,Q,F,dF
0,0.0003962,-0.09093,1e-7
1,0.0635,-0.1358,1e-7
2,0.1031,-0.1665,1e-7
3,0.1166,-0.2308,1e-7
4,0.1422,-0.2595,1e-7
5,0.1596,-0.3085,0.0001
6,0.1802,-0.3554,0.0001
7,0.1914,-0.4106,0.0001
8,0.2087,-0.4571,0.0001
9,0.2204,-0.5028,0.0001
10,0.2562,-0.5572,0.0001
11,0.3098,-0.7208,0.0001
12,0.374,-0.7112,0.0001
13,0.3935,-0.6622,0.0001
14,0.4069,-0.6149,0.0001
15,0.4187,-0.5671,0.0001
16,0.4304,-0.5069,0.0001
17,0.441,-0.4384,0.0001
18,0.4533,-0.3608,0.0001
19,0.4661,-0.2753,0.0001
20,0.4784,-0.1839,0.0001
21,0.4896,-0.08843,0.0001
22,0.5024,0.008305,0.0001
23,0.513,0.1096,0.0001
24,0.5253,0.2088,0.0001
25,0.5371,0.306,0.0001
26,0.5499,0.3998,0.0001
27,0.5616,0.4883,0.0001
28,0.5667,0.5954,0.0001
29,0.575,0.5676,0.0001
30,0.5806,0.666,0.0001
31,0.5873,0.6386,0.0001
32,0.5996,0.7735,0.0001
33,0.6002,0.7079,0.0001
34,0.6002,0.7382,0.0001
35,0.6365,0.8296,0.0001
36,0.6716,0.8391,0.0001
37,0.6823,0.7868,0.0001
38,0.7001,0.7237,0.0001
39,0.7107,0.6805,0.0001
40,0.7191,0.6294,0.0001
41,0.7286,0.5331,0.0001
42,0.7353,0.5605,0.0001
43,0.7493,0.4825,0.0001
44,0.7621,0.3986,0.0001
45,0.7794,0.3155,0.0001
46,0.7967,0.2234,0.0001
47,0.8113,0.1366,0.0001
48,0.8185,-0.125,0.0001
49,0.8414,-0.1968,0.0001
50,0.8515,-0.2645,0.0001
51,0.8654,-0.3309,0.0001
52,0.8822,-0.3857,0.0001
53,0.8894,-0.4306,0.0001
54,0.9079,-0.4746,0.0001
55,0.9341,-0.5111,0.0001
56,0.9721,-0.5115,0.0001
57,1.041,-0.497,0.0001
58,1.087,-0.4509,0.0001
59,1.166,-0.4368,0.0001
60,1.223,-0.4613,0.0001
61,1.265,-0.4804,0.0001
62,1.317,-0.5123,0.0001
63,1.376,-0.5194,0.0001
64,1.442,-0.5269,0.0001
65,1.527,-0.5518,0.0001
66,1.579,-0.5833,0.0001
67,1.633,-0.551,0.0001
68,1.644,-0.4937,0.0001
69,1.673,-0.4368,0.0001
70,1.686,-0.3737,0.0001
71,1.708,-0.3342,0.0001
72,1.728,-0.2873,0.0001
73,1.746,-0.2391,0.0001
74,1.757,-0.1765,0.0001
75,1.779,-0.1221,0.0001
76,1.825,0.004568,0.0001
77,1.831,-0.06062,0.0001
78,1.856,0.0465,0.0001
79,1.898,0.06602,0.0001
80,2.077,-0.1349,0.0001
81,2.102,-0.1544,0.0001
82,2.138,-0.1607,0.0001
83,2.188,-0.1171,0.0001
84,2.225,-0.06186,0.0001
85,2.253,-0.008718,0.0001
86,2.278,0.0382,0.0001
87,2.301,0.08304,0.0001
88,2.329,0.1316,0.0001
89,2.367,0.1789,0.0001
90,2.382,0.213,0.0001
91,2.42,0.2321,0.0001
92,2.473,0.1935,0.0001
93,2.51,0.1096,0.0001
94,2.516,0.1329,0.0001
95,2.537,0.04609,0.0001
96,2.546,-0.01412,0.0001
97,2.579,-0.04525,0.0001
98,2.601,-0.09259,0.0001
99,2.617,-0.1378,0.0001
100,2.64,-0.1831,0.0001
101,2.666,-0.2292,0.0001
102,2.692,-0.2757,0.0001
103,2.722,-0.3168,0.0001
104,2.763,-0.3554,0.0001
105,2.878,-0.3903,0.0001
106,2.94,-0.3969,0.0001
107,3.001,-0.3978,0.0001
108,3.063,-0.4011,0.0001
109,3.124,-0.4011,0.0001
110,3.186,-0.3994,0.0001
111,3.247,-0.3973,0.0001
112,3.302,-0.4065,0.0001
113,3.375,-0.3695,0.0001
114,3.429,-0.3413,0.0001
115,3.481,-0.2877,0.0001
116,3.522,-0.2342,0.0001
117,3.557,-0.1819,0.0001
118,3.591,-0.1324,0.0001
119,3.625,-0.08719,0.0001
120,3.664,-0.04816,0.0001
121,3.717,-0.01993,0.0001
122,3.777,-0.01204,0.0001
123,3.838,-0.01744,0.0001
124,3.902,-0.01827,0.0001
125,3.964,0.005814,0.0001
126,4.025,0.03571,0.0001
127,4.085,0.05564,0.0001
128,4.145,0.05854,0.0001
129,4.204,0.04318,0.0001
130,4.263,0.01578,0.0001
131,4.328,-0.03363,0.0001
132,4.385,-0.03861,0.0001
133,4.447,-0.04525,0.0001
134,4.509,-0.04899,0.0001
135,4.569,-0.05563,0.0001
136,4.63,-0.07183,0.0001
137,4.692,-0.0876,0.0001
138,4.756,-0.09757,0.0001
139,4.818,-0.09134,0.0001
140,4.879,-0.07972,0.0001
141,5.0,-0.06975,0.0001
142,5.061,-0.07556,0.0001
143,5.122,-0.0876,0.0001
144,5.183,-0.1005,0.0001
145,5.238,-0.1084,0.0001
146,5.34,-0.1569,0.0001
147,5.399,-0.174,0.0001
148,5.463,-0.1972,0.0001
149,5.526,-0.2101,0.0001
150,5.588,-0.208,0.0001
151,5.648,-0.2018,0.0001
152,5.71,-0.2018,0.0001
153,5.771,-0.2026,0.0001
154,5.833,-0.2051,0.0001
155,5.895,-0.1968,0.0001
156,6.018,-0.1524,0.0001
157,6.136,-0.1059,0.0001
158,6.191,-0.1133,0.0001
159,6.239,-0.1221,0.0001
160,6.296,-0.1495,0.0001
161,6.357,-0.1648,0.0001
162,6.419,-0.1843,0.0001
163,6.479,-0.2014,0.0001
164,6.54,-0.2176,0.0001
165,6.602,-0.2342,0.0001
166,6.64,-0.2445,0.0001
167,6.735,-0.2666,0.0001
168,6.791,-0.2628,0.0001
169,6.85,-0.2553,0.0001
170,6.911,-0.2504,0.0001
171,6.971,-0.2454,0.0001
172,7.022,-0.2537,0.0001

