,Q,F,dF
0,0.462852447,-0.192282,1e-7
1,0.465937418,-0.192704,0.0001
2,0.469022375,-0.193468,0.0001
3,0.472107317,-0.19429,0.0001
4,0.475192245,-0.195293,0.0001
5,0.478277159,-0.196611,0.0001
6,0.481362058,-0.19752,0.0001
7,0.484446942,-0.197855,0.0001
8,0.487531812,-0.198351,0.0001
9,0.490616666,-0.199139,0.0001
10,0.493701506,-0.199353,0.0001
11,0.496786331,-0.199341,0.0001
12,0.49987114,-0.200077,0.0001
13,0.502955935,-0.200978,0.0001
14,0.506040714,-0.200926,0.0001
15,0.509125478,-0.200378,0.0001
16,0.512210226,-0.200608,0.0001
17,0.515294958,-0.201295,0.0001
18,0.518379675,-0.202114,0.0001
19,0.521464376,-0.203196,0.0001
20,0.524549061,-0.203885,0.0001
21,0.527633731,-0.20448,0.0001
22,0.530718384,-0.205175,0.0001
23,0.533803021,-0.205163,0.0001
24,0.536887641,-0.204323,0.0001
25,0.539972246,-0.203459,0.0001
26,0.543056834,-0.203416,0.0001
27,0.546141405,-0.203743,0.0001
28,0.54922596,-0.204043,0.0001
29,0.552310498,-0.204429,0.0001
30,0.555395019,-0.204673,0.0001
31,0.558479523,-0.205259,0.0001
32,0.56156401,-0.205732,0.0001
33,0.56464848,-0.205512,0.0001
34,0.567732933,-0.204829,0.0001
35,0.570817369,-0.203896,0.0001
36,0.573901787,-0.203866,0.0001
37,0.576986188,-0.2047,0.0001
38,0.580070571,-0.205717,0.0001
39,0.583154937,-0.206839,0.0001
40,0.586239284,-0.207863,0.0001
41,0.589323614,-0.208888,0.0001
42,0.592407926,-0.209422,0.0001
43,0.59549222,-0.209283,0.0001
44,0.598576496,-0.208823,0.0001
45,0.601660753,-0.208614,0.0001
46,0.604744993,-0.209486,0.0001
47,0.607829213,-0.210662,0.0001
48,0.610913416,-0.211117,0.0001
49,0.613997599,-0.210839,0.0001
50,0.617081764,-0.210254,0.0001
51,0.62016591,-0.20947,0.0001
52,0.623250038,-0.208308,0.0001
53,0.626334146,-0.207322,0.0001
54,0.629418235,-0.206863,0.0001
55,0.632502305,-0.206826,0.0001
56,0.635586356,-0.207039,0.0001
57,0.638670387,-0.207177,0.0001
58,0.641754399,-0.207303,0.0001
59,0.644838392,-0.207592,0.0001
60,0.647922364,-0.208049,0.0001
61,0.651006317,-0.208315,0.0001
62,0.65409025,-0.208518,0.0001
63,0.657174164,-0.209357,0.0001
64,0.660258057,-0.210044,0.0001
65,0.66334193,-0.210048,0.0001
66,0.666425783,-0.210053,0.0001
67,0.669509616,-0.210209,0.0001
68,0.672593428,-0.209754,0.0001
69,0.67567722,-0.208229,0.0001
70,0.678760991,-0.206527,0.0001
71,0.681844741,-0.205375,0.0001
72,0.684928471,-0.205008,0.0001
73,0.68801218,-0.204822,0.0001
74,0.691095868,-0.204264,0.0001
75,0.694179534,-0.204199,0.0001
76,0.69726318,-0.204714,0.0001
77,0.700346804,-0.205131,0.0001
78,0.703430408,-0.20491,0.0001
79,0.706513989,-0.204527,0.0001
80,0.709597549,-0.204816,0.0001
81,0.712681088,-0.205391,0.0001
82,0.715764605,-0.205807,0.0001
83,0.7188481,-0.205661,0.0001
84,0.721931573,-0.205305,0.0001
85,0.725015024,-0.204976,0.0001
86,0.728098453,-0.20424,0.0001
87,0.73118186,-0.20308,0.0001
88,0.734265245,-0.201611,0.0001
89,0.737348607,-0.200716,0.0001
90,0.740431947,-0.200453,0.0001
91,0.743515264,-0.200168,0.0001
92,0.746598558,-0.199797,0.0001
93,0.74968183,-0.199314,0.0001
94,0.752765079,-0.199263,0.0001
95,0.755848305,-0.199418,0.0001
96,0.758931508,-0.198841,0.0001
97,0.762014688,-0.197273,0.0001
98,0.765097845,-0.195355,0.0001
99,0.768180978,-0.194017,0.0001
100,0.771264088,-0.193013,0.0001
101,0.774347175,-0.192068,0.0001
102,0.777430238,-0.191164,0.0001
103,0.780513277,-0.190217,0.0001
104,0.783596292,-0.189703,0.0001
105,0.786679284,-0.189157,0.0001
106,0.789762252,-0.187958,0.0001
107,0.792845195,-0.186608,0.0001
108,0.795928115,-0.1855,0.0001
109,0.79901101,-0.184543,0.0001
110,0.802093881,-0.183697,0.0001
111,0.805176727,-0.183205,0.0001
112,0.808259549,-0.182912,0.0001
113,0.811342346,-0.182374,0.0001
114,0.814425119,-0.181068,0.0001
115,0.817507866,-0.178923,0.0001
116,0.820590589,-0.176795,0.0001
117,0.823673287,-0.175063,0.0001
118,0.82675596,-0.173496,0.0001
119,0.829838607,-0.17226,0.0001
120,0.83292123,-0.171129,0.0001
121,0.836003827,-0.169614,0.0001
122,0.839086398,-0.168055,0.0001
123,0.842168944,-0.166707,0.0001
124,0.845251464,-0.16518,0.0001
125,0.848333959,-0.163418,0.0001
126,0.851416427,-0.161737,0.0001
127,0.85449887,-0.160263,0.0001
128,0.857581287,-0.158874,0.0001
129,0.860663677,-0.157534,0.0001
130,0.863746041,-0.155815,0.0001
131,0.866828379,-0.153046,0.0001
132,0.869910691,-0.150038,0.0001
133,0.872992976,-0.148296,0.0001
134,0.876075235,-0.147713,0.0001
135,0.879157467,-0.146849,0.0001
136,0.882239672,-0.144825,0.0001
137,0.88532185,-0.14211,0.0001
138,0.888404001,-0.139396,0.0001
139,0.891486125,-0.136429,0.0001
140,0.894568222,-0.132706,0.0001
141,0.897650292,-0.128347,0.0001
142,0.900732334,-0.123913,0.0001
143,0.903814349,-0.120291,0.0001
144,0.906896337,-0.117623,0.0001
145,0.909978296,-0.115013,0.0001
146,0.913060229,-0.112375,0.0001
147,0.916142133,-0.110594,0.0001
148,0.919224009,-0.109353,0.0001
149,0.922305858,-0.107159,0.0001
150,0.925387678,-0.104366,0.0001
151,0.92846947,-0.10161,0.0001
152,0.931551234,-0.097948,0.0001
153,0.934632969,-0.093773,0.0001
154,0.937714676,-0.090186,0.0001
155,0.940796354,-0.086795,0.0001
156,0.943878004,-0.083598,0.0001
157,0.946959625,-0.081292,0.0001
158,0.950041217,-0.078534,0.0001
159,0.95312278,-0.074397,0.0001
160,0.956204315,-0.070163,0.0001
161,0.95928582,-0.065716,0.0001
162,0.962367295,-0.060626,0.0001
163,0.965448742,-0.055182,0.0001
164,0.968530159,-0.049364,0.0001
165,0.971611547,-0.043515,0.0001
166,0.974692904,-0.038142,0.0001
167,0.977774233,-0.033735,0.0001
168,0.980855531,-0.029555,0.0001
169,0.9839368,-0.024247,0.0001
170,0.987018039,-0.01777,0.0001
171,0.990099247,-0.011073,0.0001
172,0.993180426,-0.004571,0.0001
173,0.996261574,0.00212,0.0001
174,0.999342692,0.00877,0.0001
175,1.002423779,0.014777,0.0001
176,1.005504836,0.020207,0.0001
177,1.008585862,0.025396,0.0001
178,1.011666857,0.030899,0.0001
179,1.014747822,0.03741,0.0001
180,1.017828756,0.044615,0.0001
181,1.020909659,0.051891,0.0001
182,1.02399053,0.059339,0.0001
183,1.027071371,0.066942,0.0001
184,1.03015218,0.0749,0.0001
185,1.033232958,0.082891,0.0001
186,1.036313704,0.090316,0.0001
187,1.039394419,0.09831,0.0001
188,1.042475102,0.107142,0.0001
189,1.045555753,0.115892,0.0001
190,1.048636373,0.124645,0.0001
191,1.05171696,0.133495,0.0001
192,1.054797516,0.142236,0.0001
193,1.057878039,0.151422,0.0001
194,1.06095853,0.16161,0.0001
195,1.064038989,0.171833,0.0001
196,1.067119416,0.181513,0.0001
197,1.07019981,0.191384,0.0001
198,1.073280171,0.201612,0.0001
199,1.0763605,0.212126,0.0001
200,1.079440795,0.222898,0.0001
201,1.082521058,0.233476,0.0001
202,1.085601288,0.24371,0.0001
203,1.088681485,0.254453,0.0001
204,1.091761649,0.266081,0.0001
205,1.094841779,0.277942,0.0001
206,1.097921877,0.289732,0.0001
207,1.10100194,0.301173,0.0001
208,1.10408197,0.312226,0.0001
209,1.107161967,0.32331,0.0001
210,1.11024193,0.334938,0.0001
211,1.113321859,0.346734,0.0001
212,1.116401754,0.357981,0.0001
213,1.119481615,0.369477,0.0001
214,1.122561442,0.381979,0.0001
215,1.125641235,0.395086,0.0001
216,1.128720993,0.408248,0.0001
217,1.131800717,0.421521,0.0001
218,1.134880407,0.434873,0.0001
219,1.137960062,0.44784,0.0001
220,1.141039682,0.46082,0.0001
221,1.144119268,0.473835,0.0001
222,1.147198819,0.486311,0.0001
223,1.150278334,0.498537,0.0001
224,1.153357815,0.511181,0.0001
225,1.156437261,0.524235,0.0001
226,1.159516671,0.53747,0.0001
227,1.162596046,0.551194,0.0001
228,1.165675386,0.56514,0.0001
229,1.16875469,0.578926,0.0001
230,1.171833959,0.59269,0.0001
231,1.174913192,0.605659,0.0001
232,1.177992389,0.617032,0.0001
233,1.18107155,0.627729,0.0001
234,1.184150675,0.639184,0.0001
235,1.187229764,0.650898,0.0001
236,1.190308817,0.661851,0.0001
237,1.193387834,0.673083,0.0001
238,1.196466814,0.68501,0.0001
239,1.199545758,0.69675,0.0001
240,1.202624666,0.708401,0.0001
241,1.205703537,0.719587,0.0001
242,1.208782371,0.729641,0.0001
243,1.211861168,0.739474,0.0001
244,1.214939928,0.749452,0.0001
245,1.218018651,0.758655,0.0001
246,1.221097338,0.767284,0.0001
247,1.224175986,0.776325,0.0001
248,1.227254598,0.785226,0.0001
249,1.230333172,0.793376,0.0001
250,1.233411709,0.80171,0.0001
251,1.236490209,0.809766,0.0001
252,1.23956867,0.816221,0.0001
253,1.242647094,0.8216,0.0001
254,1.24572548,0.826467,0.0001
255,1.248803828,0.830975,0.0001
256,1.251882138,0.83575,0.0001
257,1.25496041,0.840713,0.0001
258,1.258038644,0.845174,0.0001
259,1.261116839,0.848944,0.0001
260,1.264194996,0.852211,0.0001
261,1.267273114,0.854874,0.0001
262,1.270351194,0.856666,0.0001
263,1.273429235,0.85762,0.0001
264,1.276507237,0.857834,0.0001
265,1.279585201,0.857449,0.0001
266,1.282663125,0.857346,0.0001
267,1.28574101,0.857791,0.0001
268,1.288818857,0.857426,0.0001
269,1.291896664,0.855936,0.0001
270,1.294974431,0.854134,0.0001
271,1.298052159,0.851739,0.0001
272,1.301129848,0.84877,0.0001
273,1.304207497,0.84618,0.0001
274,1.307285106,0.843844,0.0001
275,1.310362675,0.84073,0.0001
276,1.313440205,0.836433,0.0001
277,1.316517694,0.831282,0.0001
278,1.319595144,0.825742,0.0001
279,1.322672553,0.820381,0.0001
280,1.325749922,0.815444,0.0001
281,1.32882725,0.810179,0.0001
282,1.331904538,0.80528,0.0001
283,1.334981786,0.802272,0.0001
284,1.338058993,0.799771,0.0001
285,1.341136159,0.795321,0.0001
286,1.344213284,0.788545,0.0001
287,1.347290368,0.780991,0.0001
288,1.350367411,0.773741,0.0001
289,1.353444413,0.766782,0.0001
290,1.356521374,0.759693,0.0001
291,1.359598294,0.751918,0.0001
292,1.362675172,0.743749,0.0001
293,1.365752008,0.73595,0.0001
294,1.368828803,0.7288,0.0001
295,1.371905557,0.721717,0.0001
296,1.374982268,0.714429,0.0001
297,1.378058938,0.706773,0.0001
298,1.381135565,0.697854,0.0001
299,1.384212151,0.688248,0.0001
300,1.387288694,0.679025,0.0001
301,1.390365195,0.670356,0.0001
302,1.393441654,0.661489,0.0001
303,1.39651807,0.651813,0.0001
304,1.399594444,0.643186,0.0001
305,1.402670775,0.636421,0.0001
306,1.405747064,0.630018,0.0001
307,1.408823309,0.622561,0.0001
308,1.411899512,0.613865,0.0001
309,1.414975672,0.605686,0.0001
310,1.418051788,0.598252,0.0001
311,1.421127862,0.590441,0.0001
312,1.424203892,0.582097,0.0001
313,1.427279879,0.573537,0.0001
314,1.430355822,0.566173,0.0001
315,1.433431721,0.560658,0.0001
316,1.436507577,0.555709,0.0001
317,1.43958339,0.549694,0.0001
318,1.442659158,0.542548,0.0001
319,1.445734882,0.535532,0.0001
320,1.448810563,0.528251,0.0001
321,1.451886199,0.520035,0.0001
322,1.454961791,0.511648,0.0001
323,1.458037339,0.50397,0.0001
324,1.461112842,0.49765,0.0001
325,1.464188301,0.492615,0.0001
326,1.467263715,0.487841,0.0001
327,1.470339085,0.482537,0.0001
328,1.473414409,0.476792,0.0001
329,1.476489689,0.470752,0.0001
330,1.479564924,0.464374,0.0001
331,1.482640114,0.45749,0.0001
332,1.485715258,0.450072,0.0001
333,1.488790358,0.44305,0.0001
334,1.491865412,0.437011,0.0001
335,1.49494042,0.430781,0.0001
336,1.498015383,0.424301,0.0001
337,1.501090301,0.418902,0.0001
338,1.504165172,0.414081,0.0001
339,1.507239998,0.409047,0.0001
340,1.510314778,0.404522,0.0001
341,1.513389512,0.400781,0.0001
342,1.5164642,0.397831,0.0001
343,1.519538842,0.39568,0.0001
344,1.522613437,0.393209,0.0001
345,1.525687986,0.388873,0.0001
346,1.528762488,0.382753,0.0001
347,1.531836944,0.376144,0.0001
348,1.534911354,0.370152,0.0001
349,1.537985716,0.365669,0.0001
350,1.541060032,0.362374,0.0001
351,1.5441343,0.359507,0.0001
352,1.547208522,0.357162,0.0001
353,1.550282697,0.35564,0.0001
354,1.553356824,0.354542,0.0001
355,1.556430904,0.352823,0.0001
356,1.559504937,0.349994,0.0001
357,1.562578922,0.346512,0.0001
358,1.565652859,0.342904,0.0001
359,1.568726749,0.339464,0.0001
360,1.571800591,0.33602,0.0001
361,1.574874385,0.332412,0.0001
362,1.577948131,0.328985,0.0001
363,1.581021829,0.326583,0.0001
364,1.584095479,0.325264,0.0001
365,1.587169081,0.324128,0.0001
366,1.590242634,0.323101,0.0001
367,1.593316139,0.321905,0.0001
368,1.596389595,0.31998,0.0001
369,1.599463003,0.318285,0.0001
370,1.602536362,0.317529,0.0001
371,1.605609672,0.317194,0.0001
372,1.608682933,0.317063,0.0001
373,1.611756146,0.316857,0.0001
374,1.614829309,0.316238,0.0001
375,1.617902423,0.315061,0.0001
376,1.620975488,0.313867,0.0001
377,1.624048503,0.313243,0.0001
378,1.627121469,0.312833,0.0001
379,1.630194385,0.312533,0.0001
380,1.633267252,0.312544,0.0001
381,1.636340068,0.312911,0.0001
382,1.639412835,0.313595,0.0001
383,1.642485553,0.314633,0.0001
384,1.64555822,0.315982,0.0001
385,1.648630837,0.317013,0.0001
386,1.651703403,0.318243,0.0001
387,1.65477592,0.32002,0.0001
388,1.657848386,0.32079,0.0001
389,1.660920801,0.320607,0.0001
390,1.663993166,0.320968,0.0001
391,1.66706548,0.321944,0.0001
392,1.670137744,0.323376,0.0001
393,1.673209956,0.325365,0.0001
394,1.676282118,0.327186,0.0001
395,1.679354228,0.3288,0.0001
396,1.682426288,0.33044,0.0001
397,1.685498296,0.331145,0.0001
398,1.688570252,0.331376,0.0001
399,1.691642158,0.332844,0.0001
400,1.694714012,0.335541,0.0001
401,1.697785814,0.338223,0.0001
402,1.700857564,0.340765,0.0001
403,1.703929263,0.344246,0.0001
404,1.707000909,0.348518,0.0001
405,1.710072504,0.352304,0.0001
406,1.713144047,0.355073,0.0001
407,1.716215537,0.35749,0.0001
408,1.719286976,0.360494,0.0001
409,1.722358361,0.363996,0.0001
410,1.725429695,0.367307,0.0001
411,1.728500975,0.370301,0.0001
412,1.731572204,0.373288,0.0001
413,1.734643379,0.376933,0.0001
414,1.737714501,0.380995,0.0001
415,1.740785571,0.385017,0.0001
416,1.743856588,0.389971,0.0001
417,1.746927551,0.395951,0.0001
418,1.749998461,0.401646,0.0001
419,1.753069318,0.406403,0.0001
420,1.756140122,0.410942,0.0001
421,1.759210872,0.416165,0.0001
422,1.762281568,0.42155,0.0001
423,1.765352211,0.426148,0.0001
424,1.7684228,0.430668,0.0001
425,1.771493335,0.436563,0.0001
426,1.774563816,0.44334,0.0001
427,1.777634244,0.449332,0.0001
428,1.780704616,0.454467,0.0001
429,1.783774935,0.459438,0.0001
430,1.7868452,0.464775,0.0001
431,1.789915409,0.471611,0.0001
432,1.792985565,0.47912,0.0001
433,1.796055666,0.485218,0.0001
434,1.799125712,0.490975,0.0001
435,1.802195703,0.497475,0.0001
436,1.805265639,0.504144,0.0001
437,1.808335521,0.511427,0.0001
438,1.811405347,0.519741,0.0001
439,1.814475118,0.528972,0.0001
440,1.817544834,0.539204,0.0001
441,1.820614495,0.550858,0.0001
442,1.8236841,0.562401,0.0001
443,1.826753649,0.572235,0.0001
444,1.829823143,0.581786,0.0001
445,1.832892581,0.591073,0.0001
446,1.835961963,0.599803,0.0001
447,1.83903129,0.608929,0.0001
448,1.84210056,0.617653,0.0001
449,1.845169774,0.626285,0.0001
450,1.848238932,0.636019,0.0001
451,1.851308034,0.645931,0.0001
452,1.854377079,0.655379,0.0001
453,1.857446068,0.665741,0.0001
454,1.860515,0.678581,0.0001
455,1.863583876,0.692948,0.0001
456,1.866652695,0.707226,0.0001
457,1.869721457,0.722313,0.0001
458,1.872790162,0.739052,0.0001
459,1.87585881,0.75692,0.0001
460,1.8789274,0.775811,0.0001
461,1.881995934,0.795377,0.0001
462,1.88506441,0.815314,0.0001
463,1.888132829,0.835835,0.0001
464,1.89120119,0.856211,0.0001
465,1.894269494,0.874015,0.0001
466,1.89733774,0.88749,0.0001
467,1.900405928,0.89801,0.0001
468,1.903474058,0.906525,0.0001
469,1.906542131,0.912601,0.0001
470,1.909610145,0.91885,0.0001
471,1.912678101,0.928378,0.0001
472,1.915745999,0.940716,0.0001
