,r,T
0,0.1109,-0.03851178611419487
1,0.1978,-0.08452012608163183
2,0.4711,-0.2030517730163621
3,0.7345,-0.33465063693985764
4,1.0,-0.48270649917298836
5,1.284,-0.6545781485137057
6,1.547,-0.8305620734284563
7,1.828,-1.035496412612991
8,2.101,-1.2522097354461168
9,2.369,-1.426551946050835
10,2.608,-1.5319013589632278
11,2.732,-1.1505346561255085
12,2.794,-0.4026292351639419
13,2.832,-0.16395716732035073
14,2.998,1.1700946939555446
15,3.008,0.8484899558501398
16,3.142,0.34000832918880497
17,3.179,0.20755405538606964
18,3.179,0.011467074883208275
19,3.217,-0.3447591754663851
20,3.241,-0.626622437159868
21,3.241,-0.8061918519877704
22,3.296,-1.1811200076243906
23,3.386,-1.7137114524875605
24,3.522,-2.289953932806976
25,3.681,-2.633529860530694
26,3.835,-2.3989802403753764
27,3.887,-1.9480672974737279
28,3.925,-1.7254349584350803
29,3.962,-1.4490539829614606
30,4.037,-0.4822932660497986
31,4.099,0.7466746672811163
32,4.136,1.135343577433107
33,4.136,0.9831687483947671
34,4.161,1.6029910189708587
35,4.265,2.184587782798811
36,4.372,1.7930926841689994
37,4.372,1.6306577268520184
38,4.409,1.2373193834076992
39,4.583,-1.6761772851873733
40,4.608,-2.2243115481891302
41,4.665,-2.78609177098008
42,4.824,-3.4276111973025514
43,5.013,-2.8458327061286988
44,5.197,-2.092645973953307
45,5.363,-2.3972389331312374
46,5.44,-3.1953770677760587
47,5.547,-3.9889474181283
48,5.701,-4.52825083950906
49,5.945,-3.850771618635884
50,6.049,-3.2550398363588635
51,6.206,-3.943270224486412
52,6.268,-4.368609101476937
53,6.427,-3.6721938406611243
54,6.496,-2.5358039061716724
55,6.496,-2.775746911154097
56,6.521,-1.903174114126229
57,6.558,-0.9852547532406177
58,6.596,-0.7068795528058054
59,6.596,-0.13823528111079542
60,6.752,1.1641862105775342
61,6.772,1.7343526922759147
62,6.906,0.7049772953001717
63,7.06,-0.8607628641806295
64,7.085,-0.23563125496956
65,7.254,0.9655305908723034
66,7.378,2.6613425130012764
67,7.396,2.067572397705613
68,7.515,0.954187601354299
69,7.552,-0.34432707703912496
70,7.59,-1.374108709300601
71,7.689,-4.705838748125704
72,7.689,-4.090393697021152
73,7.766,-5.994780420950301
74,7.848,-7.875501901455494
75,8.017,-9.100615108487826
76,8.223,-8.453513896796837
77,8.345,-7.049776560134429
78,8.439,-5.9337847807600435
79,8.569,-4.74832049111431
80,8.72,-3.4791487551721074
81,8.827,-2.4892637421003854
82,8.931,-1.0118826429727952
83,9.085,0.1802394036573477
84,9.354,-0.09245066705682047
85,9.366,-0.6577823644994727
86,9.59,-0.24837345126554408
87,9.759,-1.5502964372134338
88,9.923,-2.761832468870209
89,10.07,-4.290570372447285
90,10.18,-5.60356523581874
91,10.27,-7.271612696770129
92,10.41,-8.587742519179331
93,10.61,-8.45421368054246
94,10.74,-6.374766601957477
95,10.82,-4.88996545049
96,10.87,-3.5072926867107213
97,10.87,-3.975572133970488
98,10.91,-2.6331639529886517
99,10.94,-1.9131193036480112
100,10.97,-1.0403017626658106
101,11.0,-0.013887460931220872
102,11.04,1.1269836866657825
103,11.07,2.152278695120643
104,11.12,3.489684468389746
105,11.24,5.992428570423769
106,11.25,5.015718032431927
107,11.34,3.391014960256598
108,11.38,2.914491086547535
109,11.59,-8.163588080285267
110,11.65,-11.720241492418069
111,11.69,-12.768283079738456
112,11.84,-16.212128105657047
113,11.85,-15.366655877031596
114,12.0,-14.730087132138808
115,12.0,-15.470270764109344
116,12.0,-15.916112366992182
117,12.03,-13.894696839436152
118,12.06,-13.098458365161417
119,12.1,-11.727762364117186
120,12.14,-10.868824709087518
121,12.16,-9.237491726992296
122,12.16,-9.689277884580239
123,12.19,-8.180794824735685
124,12.24,-6.81254626323479
