,r,T
0,1e-05,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,0.0
32,0.32,0.0
33,0.33,0.0
34,0.34,0.0
35,0.35,0.0
36,0.36,0.0
37,0.37,0.0
38,0.38,0.0
39,0.39,0.0
40,0.4,0.0
41,0.41,0.0
42,0.42,0.0
43,0.43,0.0
44,0.44,0.0
45,0.45,0.0
46,0.46,0.0
47,0.47,0.0
48,0.48,0.0
49,0.49,0.0
50,0.5,0.0
51,0.51,0.0
52,0.52,0.0
53,0.53,0.0
54,0.54,0.0
55,0.55,0.0
56,0.56,0.0
57,0.57,0.0
58,0.58,0.0
59,0.59,0.0
60,0.6,0.0
61,0.61,0.0
62,0.62,0.0
63,0.63,0.0
64,0.64,0.0
65,0.65,0.0
66,0.66,0.0
67,0.67,0.0
68,0.68,0.0
69,0.69,0.0
70,0.7,0.0
71,0.71,0.0
72,0.72,0.0
73,0.73,0.0
74,0.74,0.0
75,0.75,0.0
76,0.76,0.0
77,0.77,0.0
78,0.78,0.0
79,0.79,0.0
80,0.8,0.0
81,0.81,0.0
82,0.82,0.0
83,0.83,0.0
84,0.84,0.0
85,0.85,0.0
86,0.86,0.0
87,0.87,0.0
88,0.88,0.0
89,0.89,0.0
90,0.9,0.0
91,0.91,0.0
92,0.92,0.0
93,0.93,0.0
94,0.94,0.0
95,0.95,0.0
96,0.96,0.0
97,0.97,0.0
98,0.98,0.0
99,0.99,0.0
100,1.0,0.0
101,1.01,0.0
102,1.02,0.0
103,1.03,0.0
104,1.04,0.0
105,1.05,0.0
106,1.06,0.0
107,1.07,0.0
108,1.08,0.0
109,1.09,0.0
110,1.1,0.0
111,1.11,0.0
112,1.12,0.0
113,1.13,0.0
114,1.14,0.0
115,1.15,0.0
116,1.16,0.0
117,1.17,0.0
118,1.18,0.0
119,1.19,0.0
120,1.2,0.0
121,1.21,0.0
122,1.22,0.0
123,1.23,0.0
124,1.24,0.0
125,1.25,0.0
126,1.26,0.0
127,1.27,0.0
128,1.28,0.0
129,1.29,0.0
130,1.3,0.0
131,1.31,0.0
132,1.32,0.0
133,1.33,0.0
134,1.34,0.0
135,1.35,0.0
136,1.36,0.0
137,1.37,0.0
138,1.38,0.0
139,1.39,0.010249
140,1.4,0.011357
141,1.41,0.011615
142,1.42,0.011231
143,1.43,0.011268
144,1.44,0.01391
145,1.45,0.0226
146,1.46,0.042011
147,1.47,0.077793
148,1.48,0.136093
149,1.49,0.222867
150,1.5,0.343055
151,1.51,0.499705
152,1.52,0.693169
153,1.53,0.920495
154,1.54,1.175134
155,1.55,1.447028
156,1.56,1.723128
157,1.57,1.988316
158,1.58,2.226646
159,1.59,2.422782
160,1.6,2.563463
161,1.61,2.638825
162,1.62,2.643408
163,1.63,2.576733
164,1.64,2.443357
165,1.65,2.252411
166,1.66,2.016682
167,1.67,1.751337
168,1.68,1.472473
169,1.69,1.195644
170,1.7,0.934556
171,1.71,0.700058
172,1.72,0.499527
173,1.73,0.336682
174,1.74,0.211806
175,1.75,0.122299
176,1.76,0.063457
177,1.77,0.029348
178,1.78,0.013666
179,1.79,0.010452
180,1.8,0.014619
181,1.81,0.022249
182,1.82,0.030665
183,1.83,0.038318
184,1.84,0.044558
185,1.85,0.049335
186,1.86,0.052912
187,1.87,0.055634
188,1.88,0.057762
189,1.89,0.059412
190,1.9,0.060552
191,1.91,0.061064
192,1.92,0.060811
193,1.93,0.059716
194,1.94,0.057801
195,1.95,0.055201
196,1.96,0.052136
197,1.97,0.048872
198,1.98,0.045661
199,1.99,0.042698
200,2.0,0.040091
201,2.01,0.037858
202,2.02,0.035947
203,2.03,0.034271
204,2.04,0.032747
205,2.05,0.031334
206,2.06,0.030049
207,2.07,0.028968
208,2.08,0.028203
209,2.09,0.027875
210,2.1,0.028069
211,2.11,0.028803
212,2.12,0.030011
213,2.13,0.031543
214,2.14,0.033181
215,2.15,0.034675
216,2.16,0.03579
217,2.17,0.036344
218,2.18,0.03624
219,2.19,0.035488
220,2.2,0.034196
221,2.21,0.03255
222,2.22,0.030784
223,2.23,0.029133
224,2.24,0.027798
225,2.25,0.026916
226,2.26,0.026539
227,2.27,0.026638
228,2.28,0.027116
229,2.29,0.027836
230,2.3,0.028654
231,2.31,0.029457
232,2.32,0.030201
233,2.33,0.030938
234,2.34,0.031843
235,2.35,0.033235
236,2.36,0.035587
237,2.37,0.039534
238,2.38,0.045877
239,2.39,0.055576
240,2.4,0.069733
241,2.41,0.089572
242,2.42,0.11639
243,2.43,0.151508
244,2.44,0.196199
245,2.45,0.251609
246,2.46,0.318667
247,2.47,0.398
248,2.48,0.48985
249,2.49,0.594011
250,2.5,0.709777
251,2.51,0.835917
252,2.52,0.970674
253,2.53,1.111791
254,2.54,1.256554
255,2.55,1.401864
256,2.56,1.544322
257,2.57,1.680341
258,2.58,1.806257
259,2.59,1.918474
260,2.6,2.013602
261,2.61,2.088614
262,2.62,2.14099
263,2.63,2.168865
264,2.64,2.171143
265,2.65,2.14759
266,2.66,2.098884
267,2.67,2.026606
268,2.68,1.933183
269,2.69,1.821775
270,2.7,1.696112
271,2.71,1.560288
272,2.72,1.418541
273,2.73,1.275024
274,2.74,1.133598
275,2.75,0.997652
276,2.76,0.869973
277,2.77,0.752673
278,2.78,0.647173
279,2.79,0.554231
280,2.8,0.474027
281,2.81,0.406262
282,2.82,0.350282
283,2.83,0.305194
284,2.84,0.269976
285,2.85,0.243565
286,2.86,0.224913
287,2.87,0.213029
288,2.88,0.206992
289,2.89,0.205954
290,2.9,0.209128
291,2.91,0.215784
292,2.92,0.225236
293,2.93,0.236846
294,2.94,0.250026
295,2.95,0.264253
296,2.96,0.279083
297,2.97,0.294154
298,2.98,0.309202
299,2.99,0.324051
300,3.0,0.3386
301,3.01,0.352802
302,3.02,0.366633
303,3.03,0.380059
304,3.04,0.393007
305,3.05,0.40534
306,3.06,0.416845
307,3.07,0.427239
308,3.08,0.436183
309,3.09,0.443317
310,3.1,0.4483
311,3.11,0.450857
312,3.12,0.450818
313,3.13,0.448157
314,3.14,0.443004
315,3.15,0.435647
316,3.16,0.42651
317,3.17,0.416117
318,3.18,0.40504
319,3.19,0.393843
320,3.2,0.383034
321,3.21,0.373019
322,3.22,0.364081
323,3.23,0.356376
324,3.24,0.349948
325,3.25,0.344761
326,3.26,0.340743
327,3.27,0.337825
328,3.28,0.335983
329,3.29,0.335256
330,3.3,0.335752
331,3.31,0.337629
332,3.32,0.341068
333,3.33,0.346225
334,3.34,0.353193
335,3.35,0.361959
336,3.36,0.372387
337,3.37,0.384214
338,3.38,0.397069
339,3.39,0.410511
340,3.4,0.424083
341,3.41,0.437363
342,3.42,0.450019
343,3.43,0.46184
344,3.44,0.472761
345,3.45,0.482853
346,3.46,0.492298
347,3.47,0.501357
348,3.48,0.510313
349,3.49,0.519431
350,3.5,0.528917
351,3.51,0.538894
352,3.52,0.549395
353,3.53,0.560371
354,3.54,0.571711
355,3.55,0.583274
356,3.56,0.594912
357,3.57,0.606496
358,3.58,0.617934
359,3.59,0.62917
360,3.6,0.640185
361,3.61,0.650985
362,3.62,0.661589
363,3.63,0.672019
364,3.64,0.682296
365,3.65,0.692441
366,3.66,0.702476
367,3.67,0.712437
368,3.68,0.722375
369,3.69,0.732356
370,3.7,0.742456
371,3.71,0.752745
