Q_inv_angstrom,F_Q
5.458333333333333925e-01,-5.767339218158890057e-01
6.374999999999999556e-01,-5.439470365699874410e-01
7.291666666666666297e-01,-6.341109709962169383e-01
8.208333333333333037e-01,-7.488650693568726924e-01
9.124999999999999778e-01,-8.308322824716267707e-01
1.004166666666666430e+00,-9.168978562421185030e-01
1.095833333333333215e+00,-9.701765447667087816e-01
1.187500000000000000e+00,-1.027553593947036603e+00
1.279166666666666785e+00,-1.072635561160151241e+00
1.370833333333333126e+00,-1.125914249684741408e+00
1.462499999999999911e+00,-1.162799495586380738e+00
1.554166666666666696e+00,6.773644388398486482e-01
1.645833333333333259e+00,1.587200504413619262e+00
1.737499999999999822e+00,-1.216078184110970906e+00
1.829166666666666607e+00,-1.183291298865069230e+00
1.920833333333333393e+00,-1.101324085750315263e+00
2.012499999999999734e+00,-9.578814627994957087e-01
2.104166666666666519e+00,-7.406683480453972734e-01
2.195833333333332860e+00,-4.168978562421186140e-01
2.287499999999999645e+00,-2.160781841109710166e-01
2.379166666666666430e+00,1.752837326607817325e-02
2.470833333333333215e+00,2.757250945775534534e-01
2.562500000000000000e+00,3.576923076923076428e-01
2.654166666666666785e+00,1.752837326607817325e-02
2.745833333333333126e+00,-4.046027742749054301e-01
2.837499999999999911e+00,-6.423076923076923572e-01
2.929166666666666252e+00,2.660970996216897699e+00
3.020833333333333037e+00,2.484741488020176803e+00
3.112499999999999822e+00,-2.734552332912988382e-01
3.204166666666666607e+00,2.365889029003783062e+00
3.295833333333333393e+00,5.257250945775536755e-01
3.387499999999999734e+00,2.267528373266078034e+00
3.479166666666666519e+00,2.177364438839848759e+00
3.570833333333332860e+00,2.242938209331652111e+00
3.662499999999999645e+00,2.538020176544766748e+00
3.754166666666666430e+00,9.601513240857503240e-01
3.845833333333333215e+00,-6.791929382093316869e-01
3.937500000000000000e+00,-2.365699873896595640e-01
4.029166666666665897e+00,4.150693568726354643e-01
4.120833333333332682e+00,9.888398486759141237e-01
4.212499999999999467e+00,1.693757881462799375e+00
4.304166666666666252e+00,2.427364438839848759e+00
4.395833333333333037e+00,2.402774274905422836e+00
4.487499999999999822e+00,1.435561160151324067e+00
4.579166666666666607e+00,3.740857503152584806e-01
4.670833333333333393e+00,-1.750945775535939775e-01
4.762499999999999289e+00,-6.791929382093316869e-01
4.854166666666666075e+00,-1.068537200504413587e+00
4.945833333333332860e+00,-1.232471626733921743e+00
5.037499999999999645e+00,-1.302143757881462749e+00
5.129166666666666430e+00,1.283921815889029094e+00
5.220833333333333215e+00,1.796216897856242056e+00
5.312500000000000000e+00,1.554413619167717586e+00
5.404166666666666785e+00,-3.841109709962170493e-01
5.495833333333332682e+00,1.484741488020176581e+00
5.587499999999999467e+00,1.579003783102143732e+00
5.679166666666666252e+00,8.576923076923076428e-01
5.770833333333333037e+00,-1.228373266078184090e+00
5.862499999999999822e+00,-9.373896595208071059e-01
5.954166666666666607e+00,-6.136191677175284465e-01
6.045833333333332504e+00,-3.759142496847415194e-01
6.137499999999999289e+00,-2.611601513240857653e-01
6.229166666666666075e+00,-3.677175283732661004e-01
6.320833333333332860e+00,2.829003783102143732e+00
6.412499999999999645e+00,1.013430012610340603e+00
6.504166666666666430e+00,2.824905422446406078e+00
6.595833333333333215e+00,2.915069356872635353e+00
6.687500000000000000e+00,-6.627994955863808491e-01
6.779166666666665897e+00,1.128184110970996246e+00
6.870833333333332682e+00,2.886380832282471776e+00
6.962499999999999467e+00,2.890479192938209430e+00
7.054166666666666252e+00,2.956052963430012781e+00
7.145833333333333037e+00,-5.316519546027743681e-01
7.237499999999999822e+00,-2.857503152585120221e-01
7.329166666666665719e+00,1.281841109709961624e-01
7.420833333333332504e+00,5.216267339218157995e-01
7.512499999999999289e+00,7.388398486759141237e-01
7.604166666666666075e+00,4.560529634300124480e-01
7.695833333333332860e+00,4.621689785624208402e-02
7.787499999999999645e+00,-1.423076923076923572e-01
7.879166666666666430e+00,-7.037831021437579437e-01
7.970833333333333215e+00,2.632282471626734122e+00
