Q,F_Q
0.545833,0.000000
0.637500,0.000000
0.729167,0.000000
0.820833,-0.617076
0.912500,-0.691215
1.004167,-0.763011
1.095833,-0.830831
1.187500,-0.893045
1.279167,-0.956536
1.370833,-1.005232
1.462500,-1.045657
1.554167,-1.074811
1.645833,-1.080588
1.737500,-1.054854
1.829167,-0.993247
1.920833,-0.881261
2.012500,-0.698747
2.104167,-0.482451
2.195833,-0.263736
2.287500,-0.201939
2.379167,-0.210193
2.470833,-0.101120
2.562500,0.088168
2.654167,0.333127
2.745833,0.612876
2.837500,0.914262
2.929167,1.218723
3.020833,1.527261
3.112500,1.832496
3.204167,2.134434
3.295833,2.409118
3.387500,2.588112
3.479167,2.629113
3.570833,2.486645
3.662500,2.374695
3.754167,2.387343
3.845833,2.451678
3.937500,2.528073
4.029167,2.581830
4.120833,2.583174
4.212500,2.507258
4.304167,2.351755
4.395833,2.066973
4.487500,1.609502
4.579167,1.068960
4.670833,0.526512
4.762500,0.121499
4.854167,-0.137356
4.945833,-0.241244
5.037500,-0.121484
5.129167,0.181085
5.220833,0.547022
5.312500,0.823992
5.404167,1.006648
5.495833,1.093335
5.587500,1.068518
5.679167,0.816045
5.770833,0.409488
5.862500,0.017999
5.954167,-0.260212
6.045833,-0.267379
6.137500,-0.082255
6.229167,0.283171
6.320833,0.817039
6.412500,1.385282
6.504167,2.034411
6.595833,2.584502
6.687500,2.879198
6.779167,2.954288
6.870833,2.822026
6.962500,2.517760
7.054167,2.137153
7.145833,1.718284
7.237500,1.216981
7.329167,0.768575
7.420833,0.392202
7.512500,0.230231
7.604167,0.280062
7.695833,0.539399
7.787500,1.018012
7.879167,1.475719
7.970833,1.791437
8.062500,2.115527
8.154167,2.454587
8.245833,2.790765
8.337500,3.095135
8.429167,3.270090
8.520833,3.155437
8.612500,2.964529
8.704167,2.721662
8.795833,2.389992
8.887500,1.950300
8.979167,1.447259
9.070833,0.923133
9.162500,0.420641
9.254167,0.001901
9.345833,-0.298825
9.437500,-0.478311
9.529167,-0.543068
9.620833,-0.473851
9.712500,-0.378420
9.804167,-0.309460
9.895833,-0.190822
9.987500,-0.134013
10.079167,-0.193042
10.170833,-0.272566
10.262500,-0.361671
10.354167,-0.443070
10.445833,-0.494487
10.537500,-0.509508
10.629167,-0.505644
10.720833,-0.492622
10.812500,-0.468495
10.904167,-0.430698
10.995833,-0.376514
11.087500,-0.310540
11.179167,-0.256174
11.270833,-0.212691
11.362500,-0.187233
11.454167,-0.195941
11.545833,-0.321702
11.637500,-0.495482
11.729167,-0.656729
11.820833,-0.759278
11.912500,-0.687565
12.004167,-0.342191
12.095833,0.144716
12.187500,0.507542
12.279167,0.764996
12.370833,0.922118
12.462500,0.974052
12.554167,0.931732
12.645833,0.775756
12.737500,0.495093
12.829167,0.090226
12.920833,-0.296459
13.012500,-0.599447
13.104167,-0.743574
13.195833,-0.645001
13.287500,-0.362373
13.379167,-0.130555
13.470833,-0.075012
13.562500,-0.051710
13.654167,-0.062979
13.745833,-0.101838
13.837500,-0.165294
13.929167,-0.246323
14.020833,-0.397940
14.112500,-0.558463
14.204167,-0.573024
14.295833,-0.490694
14.387500,-0.353106
14.479167,-0.312535
14.570833,-0.309233
14.662500,-0.160089
14.754167,0.059843
14.845833,0.250720
14.937500,0.381499
15.029167,0.370022
15.120833,0.240236
15.212500,0.053196
15.304167,-0.195294
15.395833,-0.382872
15.487500,-0.449603
15.579167,-0.525961
15.670833,-0.641181
15.762500,-0.830193
15.854167,-0.909953
15.945833,-0.802528
16.037500,-0.684084
16.129167,-0.607572
16.220833,-0.569599
16.312500,-0.600941
