,r,T
0,0.04361,-0.05771209854078888
1,0.09798,-0.1303575219344372
2,0.1063,-0.14647879992715251
3,0.1396,-0.18828155591680296
4,0.1457,-0.20622319969033717
5,0.159,-0.23752909749325593
6,0.1801,-0.2572836963305021
7,0.1845,-0.28205519877328555
8,0.1873,-0.27355082861560975
9,0.2017,-0.32039660941011394
10,0.2145,-0.3249895280427048
11,0.2223,-0.3658274939398228
12,0.2289,-0.3581626345062359
13,0.2333,-0.39962691192200905
14,0.2505,-0.4432569451448521
15,0.2511,-0.41257940662609727
16,0.2622,-0.47856557849603865
17,0.2639,-0.44734623535310425
18,0.2788,-0.48840592062286164
19,0.2872,-0.556891975372044
20,0.2916,-0.5285297404878971
21,0.2977,-0.5630999959151481
22,0.3277,-0.6494832042943718
23,0.351,-0.7338683298566321
24,0.3515,-0.7201323332529341
25,0.4148,-0.8624071315361056
26,0.4342,-0.8768611868666971
27,0.4475,-0.8778654939579156
28,0.4591,-0.8739283844185699
29,0.4708,-0.8616536513415433
30,0.4813,-0.8407430766855494
31,0.4935,-0.8153754306981228
32,0.5063,-0.7837590892062675
33,0.5185,-0.7449429016984285
34,0.5296,-0.6992485575091275
35,0.5424,-0.6522170005022938
36,0.5529,-0.5966339966714285
37,0.5651,-0.5414695585483601
38,0.5768,-0.48441258285558914
39,0.5895,-0.42767875187354104
40,0.6012,-0.37138684819080137
41,0.6062,-0.29533915114093556
42,0.6145,-0.32020561870918546
43,0.62,-0.24870843448116756
44,0.6267,-0.27232666708105424
45,0.6389,-0.17265116900318062
46,0.6395,-0.22387001398693876
47,0.6395,-0.20025141571463986
48,0.6755,-0.13635046639750614
49,0.7105,-0.13518793285349853
50,0.721,-0.18314873415657618
51,0.7388,-0.2444936942573461
52,0.7493,-0.28733292432141444
53,0.7576,-0.3377037384138778
54,0.7671,-0.4318877510404899
55,0.7737,-0.4098578531305383
56,0.7809,-0.5147579323659576
57,0.7876,-0.4921021373660845
58,0.792,-0.602201030043065
59,0.8003,-0.5817834915005345
60,0.8092,-0.6988221639738924
61,0.8131,-0.9493492433815067
62,0.8175,-0.6769931055418398
63,0.8253,-0.8028605117916372
64,0.8342,-1.0583804067440847
65,0.8347,-0.7849414909513419
66,0.8419,-0.9084936910791748
67,0.8492,-0.8884235047610595
68,0.8564,-1.1688244259193972
69,0.8647,-0.9977805078400385
