,r,T
0,1e-05,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,0.0
32,0.32,0.0
33,0.33,0.0
34,0.34,0.0
35,0.35,0.0
36,0.36,0.0
37,0.37,0.0
38,0.38,0.0
39,0.39,0.0
40,0.4,0.0
41,0.41,0.0
42,0.42,0.0
43,0.43,0.0
44,0.44,0.0
45,0.45,0.0
46,0.46,0.0
47,0.47,0.0
48,0.48,0.0
49,0.49,0.0
50,0.5,0.0
51,0.51,0.0
52,0.52,0.0
53,0.53,0.0
54,0.54,0.0
55,0.55,0.0
56,0.56,0.0
57,0.57,0.0
58,0.58,0.0
59,0.59,0.0
60,0.6,0.0
61,0.61,0.0
62,0.62,0.0
63,0.63,0.0
64,0.64,0.0
65,0.65,0.0
66,0.66,0.0
67,0.67,0.0
68,0.68,0.0
69,0.69,0.0
70,0.7,0.0
71,0.71,0.0
72,0.72,0.0
73,0.73,0.0
74,0.74,0.0
75,0.75,0.0
76,0.76,0.0
77,0.77,0.0
78,0.78,0.0
79,0.79,0.0
80,0.8,0.0
81,0.81,0.0
82,0.82,0.0
83,0.83,0.0
84,0.84,0.0
85,0.85,0.0
86,0.86,0.0
87,0.87,0.0
88,0.88,0.0
89,0.89,0.0
90,0.9,0.0
91,0.91,0.0
92,0.92,0.0
93,0.93,0.0
94,0.94,0.0
95,0.95,0.0
96,0.96,0.0
97,0.97,0.0
98,0.98,0.0
99,0.99,0.0
100,1.0,0.0
101,1.01,0.0
102,1.02,0.0
103,1.03,0.0
104,1.04,0.0
105,1.05,0.0
106,1.06,0.0
107,1.07,0.0
108,1.08,0.0
109,1.09,0.0
110,1.1,0.0
111,1.11,0.0
112,1.12,0.0
113,1.13,0.0
114,1.14,0.0
115,1.15,0.0
116,1.16,0.0
117,1.17,0.0
118,1.18,0.0
119,1.19,0.0
120,1.2,0.0
121,1.21,0.0
122,1.22,0.0
123,1.23,0.0
124,1.24,0.0
125,1.25,0.0
126,1.26,0.0
127,1.27,0.0
128,1.28,0.0
129,1.29,0.0
130,1.3,0.0
131,1.31,0.0
132,1.32,0.0
133,1.33,0.0
134,1.34,0.0
135,1.35,0.0
136,1.36,0.0
137,1.37,0.0
138,1.38,0.0
139,1.39,0.0
140,1.4,0.0
141,1.41,0.0
142,1.42,0.0
143,1.43,0.0
144,1.44,0.0
145,1.45,0.0
146,1.46,0.0
147,1.47,0.0
148,1.48,0.0
149,1.49,0.0
150,1.5,0.0169123
151,1.51,0.0295766
152,1.52,0.0426511
153,1.53,0.0551879
154,1.54,0.0665968
155,1.55,0.0771812
156,1.56,0.0886863
157,1.57,0.104756
158,1.58,0.131179
159,1.59,0.17581
160,1.6,0.24812
161,1.61,0.358328
162,1.62,0.516199
163,1.63,0.729603
164,1.64,1.00302
165,1.65,1.33621
166,1.66,1.72321
167,1.67,2.15196
168,1.68,2.60458
169,1.69,3.05834
170,1.7,3.48739
171,1.71,3.86494
172,1.72,4.16576
173,1.73,4.36867
174,1.74,4.4587
175,1.75,4.42866
176,1.76,4.28001
177,1.77,4.02267
178,1.78,3.67411
179,1.79,3.25752
180,1.8,2.79959
181,1.81,2.32789
182,1.82,1.86835
183,1.83,1.44314
184,1.84,1.06902
185,1.85,0.756465
186,1.86,0.509543
187,1.87,0.326503
188,1.88,0.200888
189,1.89,0.123027
190,1.9,0.0816499
191,1.91,0.0653912
192,1.92,0.0640219
193,1.93,0.0693035
194,1.94,0.0753946
195,1.95,0.0788497
196,1.96,0.0782986
197,1.97,0.073907
198,1.98,0.0667589
199,1.99,0.0582748
200,2.0,0.0497457
201,2.01,0.0420563
202,2.02,0.0355769
203,2.03,0.0302166
204,2.04,0.0255791
205,2.05,0.0211661
206,2.06,0.0165634
207,2.07,0.0115673
208,2.08,0.00624835
209,2.09,0.000916123
210,2.1,-0.00396401
211,2.11,-0.00787753
212,2.12,-0.0103912
213,2.13,-0.0112173
214,2.14,-0.010269
215,2.15,-0.00764698
216,2.16,-0.00359261
217,2.17,0.00157893
218,2.18,0.00753987
219,2.19,0.0140078
220,2.2,0.0207542
221,2.21,0.027597
222,2.22,0.0343684
223,2.23,0.0408667
224,2.24,0.0468248
225,2.25,0.0518935
226,2.26,0.0556681
227,2.27,0.0577281
228,2.28,0.0577102
229,2.29,0.0553945
230,2.3,0.0507579
231,2.31,0.0440131
232,2.32,0.0356124
233,2.33,0.0261838
234,2.34,0.0164678
235,2.35,0.0071882
236,2.36,-0.00103879
237,2.37,-0.00779849
238,2.38,-0.0129322
239,2.39,-0.016529
240,2.4,-0.0188867
241,2.41,-0.0204247
242,2.42,-0.0215712
243,2.43,-0.0226635
244,2.44,-0.0238489
245,2.45,-0.0250466
246,2.46,-0.0259438
247,2.47,-0.026035
248,2.48,-0.0247254
249,2.49,-0.0214097
250,2.5,-0.0155945
251,2.51,-0.00696868
252,2.52,0.0045622
253,2.53,0.0188762
254,2.54,0.0356948
255,2.55,0.0546708
256,2.56,0.0755
257,2.57,0.0980192
258,2.58,0.122296
259,2.59,0.148655
260,2.6,0.177677
261,2.61,0.210143
262,2.62,0.246928
263,2.63,0.288885
264,2.64,0.336717
265,2.65,0.390868
266,2.66,0.451443
267,2.67,0.518176
268,2.68,0.590436
269,2.69,0.667278
270,2.7,0.747516
271,2.71,0.829817
272,2.72,0.912791
273,2.73,0.995066
274,2.74,1.07534
275,2.75,1.15239
276,2.76,1.22512
277,2.77,1.2925
278,2.78,1.35356
279,2.79,1.40739
280,2.8,1.45314
281,2.81,1.49004
282,2.82,1.51742
283,2.83,1.53476
284,2.84,1.54178
285,2.85,1.53847
286,2.86,1.52512
287,2.87,1.50238
288,2.88,1.47117
289,2.89,1.43274
290,2.9,1.38854
291,2.91,1.34018
292,2.92,1.28933
293,2.93,1.23762
294,2.94,1.18663
295,2.95,1.13776
296,2.96,1.09225
297,2.97,1.05114
298,2.98,1.01524
299,2.99,0.985201
300,3.0,0.961474
301,3.01,0.944335
302,3.02,0.933893
303,3.03,0.930094
304,3.04,0.93271
305,3.05,0.941342
306,3.06,0.955416
307,3.07,0.974194
308,3.08,0.99679
309,3.09,1.0222
310,3.1,1.04934
311,3.11,1.07711
312,3.12,1.10441
313,3.13,1.13022
314,3.14,1.15363
315,3.15,1.17386
316,3.16,1.19028
317,3.17,1.20242
318,3.18,1.20996
319,3.19,1.21268
320,3.2,1.21052
321,3.21,1.20349
322,3.22,1.1917
323,3.23,1.17537
324,3.24,1.15483
325,3.25,1.1305
326,3.26,1.10294
327,3.27,1.07284
328,3.28,1.04098
329,3.29,1.00824
330,3.3,0.975539
331,3.31,0.943784
332,3.32,0.913824
333,3.33,0.886382
334,3.34,0.86201
335,3.35,0.841061
336,3.36,0.82367
337,3.37,0.809768
338,3.38,0.799108
339,3.39,0.791321
340,3.4,0.785957
341,3.41,0.782561
342,3.42,0.780711
343,3.43,0.780057
344,3.44,0.780352
345,3.45,0.781443
346,3.46,0.783264
347,3.47,0.785812
348,3.48,0.78911
349,3.49,0.793181
350,3.5,0.798029
351,3.51,0.803613
352,3.52,0.809855
353,3.53,0.816646
354,3.54,0.823855
355,3.55,0.831356
356,3.56,0.839041
357,3.57,0.846829
358,3.58,0.854677
359,3.59,0.86257
360,3.6,0.870509
361,3.61,0.878503
362,3.62,0.886549
363,3.63,0.894622
364,3.64,0.902674
