,Q,F,dF
0,0.02,0.0,1e-7
1,0.04,0.0,1e-7
2,0.06,0.0,1e-7
3,0.08,0.0,1e-7
4,0.1,0.0,1e-7
5,0.12,0.0,1e-7
6,0.14,0.0,1e-7
7,0.16,0.0,1e-7
8,0.18,0.0,1e-7
9,0.2,0.0,1e-7
10,0.22,0.0,1e-7
11,0.24,0.0,1e-7
12,0.26,0.0,1e-7
13,0.28,0.0,1e-7
14,0.3,0.0,1e-7
15,0.32,0.0,1e-7
16,0.34,0.0,1e-7
17,0.36,0.0,1e-7
18,0.38,0.0,1e-7
19,0.4,0.0,1e-7
20,0.42,0.0,1e-7
21,0.44,0.0,1e-7
22,0.46,0.0,1e-7
23,0.48,0.0,1e-7
24,0.5,0.0,1e-7
25,0.52,-6.8844e-07,8.58927e-07
26,0.54,-0.231002,0.000497543
27,0.56,-0.228655,0.000528995
28,0.58,-0.223442,0.000534197
29,0.6,-0.221189,0.000565534
30,0.62,-0.21835,0.000580695
31,0.64,-0.214517,0.000596226
32,0.66,-0.211629,0.000639693
33,0.68,-0.206465,0.00065139
34,0.7,-0.204641,0.000689675
35,0.72,-0.200646,0.000724058
36,0.74,-0.194868,0.000729592
37,0.76,-0.192223,0.000775111
38,0.78,-0.188753,0.000784852
39,0.8,-0.183898,0.000823678
40,0.82,-0.183984,0.000881503
41,0.84,-0.179292,0.000913104
42,0.86,-0.176586,0.000981721
43,0.88,-0.173836,0.000990312
44,0.9,-0.169913,0.00103808
45,0.92,-0.170178,0.00110404
46,0.94,-0.16449,0.00112275
47,0.96,-0.160108,0.00116485
48,0.98,-0.156809,0.0012343
49,1.0,-0.148919,0.00123343
50,1.02,-0.146771,0.00131553
51,1.04,-0.136887,0.0013242
52,1.06,-0.134442,0.00137231
53,1.08,-0.125627,0.00143185
54,1.1,-0.122339,0.00147228
55,1.12,-0.110584,0.00153005
56,1.14,-0.0991978,0.00154856
57,1.16,-0.0923165,0.00162422
58,1.18,-0.0829476,0.00166502
59,1.2,-0.0711391,0.00170658
60,1.22,-0.0579386,0.00178174
61,1.24,-0.031647,0.000597703
62,1.26,-0.0169141,0.000627043
63,1.28,0.00235045,0.00064285
64,1.3,0.0186544,0.000680269
65,1.32,0.0400271,0.000701827
66,1.34,0.0560417,0.000731711
67,1.36,0.0755645,0.000759016
68,1.38,0.0918724,0.000782444
69,1.4,0.108076,0.000816993
70,1.42,0.121542,0.000844101
71,1.44,0.133555,0.000862716
72,1.46,0.143785,0.000881722
73,1.48,0.148542,0.000913033
74,1.5,0.151342,0.000923389
75,1.52,0.150701,0.000933451
76,1.54,0.149245,0.00101858
77,1.56,0.142432,0.0010279
78,1.58,0.132519,0.00104654
79,1.6,0.120644,0.0010346
80,1.62,0.110337,0.00104404
81,1.64,0.098848,0.00102812
