,Q,F,dF
0,0.01,-41.995365188888805,1e-7
1,0.02,-41.98162434563788,1e-7
2,0.03,-41.958719085135165,1e-7
3,0.04,-41.92664385151821,1e-7
4,0.05,-41.88539088133722,0.0001
5,0.060000000000000005,-41.83495029124261,1e-7
6,0.06999999999999999,-41.775310160629616,1e-7
7,0.08,-41.706456628631564,1e-7
8,0.09,-41.628374007404084,1e-7
9,0.09999999999999999,-41.54104491186106,1e-7
10,0.11,-41.44445040566466,1e-7
11,0.12,-41.33857016315306,1e-7
12,0.13,-41.2233826468245,1e-7
13,0.14,-41.09886529994878,1e-7
14,0.15000000000000002,-40.964994753834766,1e-7
15,0.16,-40.821747049244024,1e-7
16,0.17,-40.66909787140207,1e-7
17,0.18000000000000002,-40.50702279802337,0.0001
18,0.19,-40.33549755973034,0.0001
19,0.2,-40.15449831221318,0.0001
20,0.21000000000000002,-39.96400191944405,0.0001
21,0.22,-39.76398624722799,0.0001
22,0.23,-39.55443046634215,0.0001
23,0.24000000000000002,-39.335315364486426,0.0001
24,0.25,-39.10662366624062,0.0001
25,0.26,-38.86834036019715,0.0001
26,0.27,-38.62045303241392,0.0001
27,0.28,-38.3629522053086,0.0001
28,0.29000000000000004,-38.09583168109427,0.0001
29,0.3,-37.819088888836525,0.0001
30,0.31,-37.5327252341942,0.0001
31,0.32,-37.23674645088955,0.0001
32,0.33,-36.931162952939154,0.0001
33,0.34,-36.61599018666468,0.0001
34,0.35000000000000003,-36.291248981491414,0.0001
35,0.36000000000000004,-35.95696589853452,0.0001
36,0.37,-35.61317357596571,0.0001
37,0.38,-35.259911070148945,0.0001
38,0.39,-34.89722419153099,0.0001
39,0.4,-34.5251658342723,0.0001
40,0.41000000000000003,-34.14379629860579,0.0001
41,0.42000000000000004,-33.75318360491452,0.0001
42,0.43,-33.35340379852588,0.0001
43,0.44,-32.94454124422807,0.0001
44,0.45,-32.52668890952537,0.0001
45,0.46,-32.099948635661285,0.0001
46,0.47000000000000003,-31.664431395454276,0.0001
47,0.48000000000000004,-31.22025753700753,0.0001
48,0.49,-30.767557012374397,0.0001
49,0.5,-30.306469590282596,0.0001
50,0.51,-29.837145052044782,0.0001
51,0.52,-29.359743369808996,0.0001
52,0.53,-28.8744348663314,0.0001
53,0.54,-28.381400355484377,0.0001
54,0.55,-27.88083126274586,0.0001
55,0.56,-27.372929724950883,0.0001
56,0.5700000000000001,-26.857908668623356,0.0001
57,0.5800000000000001,-26.33599186624537,0.0001
58,0.59,-25.807413969862225,0.0001
59,0.6,-25.272420521464657,0.0001
60,0.61,-24.731267939634613,0.0001
61,0.62,-24.184223481987527,0.0001
62,0.63,-23.6315651829927,0.0001
63,0.64,-23.073581766803603,0.0001
64,0.65,-22.51057253478125,0.0001
65,0.66,-21.942847227447526,0.0001
66,0.67,-21.370725860659544,0.0001
67,0.68,-20.7945385358523,0.0001
68,0.6900000000000001,-20.214625224253858,0.0001
69,0.7000000000000001,-19.631335525035585,0.0001
70,0.7100000000000001,-19.04502839741919,0.0001
71,0.72,-18.456071866822324,0.0001
72,0.73,-17.864842705185367,0.0001
73,0.74,-17.271726085683557,0.0001
74,0.75,-16.677115212090314,0.0001
75,0.76,-16.08141092312034,0.0001
76,0.77,-15.485021272143184,0.0001
77,0.78,-14.888361082720865,0.0001
78,0.79,-14.291851480485771,0.0001
79,0.8,-13.695919401937166,0.0001
80,0.81,-13.100997080797038,0.0001
81,0.8200000000000001,-12.507521512627312,0.0001
82,0.8300000000000001,-11.915933898471518,0.0001
83,0.8400000000000001,-11.326679068344129,0.0001
84,0.85,-10.740204885449879,0.0001
85,0.86,-10.156961632073552,0.0001
86,0.87,-9.577401378137589,0.0001
87,0.88,-9.001977333480138,0.0001
88,0.89,-8.43114318496021,0.0001
89,0.9,-7.865352419548674,0.0001
90,0.91,-7.305057634614176,0.0001
91,0.92,-6.750709836661224,0.0001
92,0.93,-6.2027577298240075,0.0001
93,0.9400000000000001,-5.661646995463143,0.0001
94,0.9500000000000001,-5.127819564254023,0.0001
95,0.9600000000000001,-4.601712882194234,0.0001
96,0.97,-4.083759171993533,0.0001
97,0.98,-3.574384691343108,0.0001
98,0.99,-3.074008989591217,0.0001
99,1.0,-2.583044164379243,0.0001
100,1.01,-2.101894119816369,0.0001
101,1.02,-1.6309538277916207,0.0001
102,1.03,-1.1706085940392714,0.0001
103,1.04,-0.7212333305872919,0.0001
104,1.05,-0.28319183622870103,0.0001
105,1.06,0.14316391333794026,0.0001
106,1.07,0.5574944640499592,0.0001
107,1.08,0.9594735690560743,0.0001
108,1.09,1.3487888596832114,0.0001
109,1.1,1.7251425001607232,0.0001
110,1.11,2.0882518244810124,0.0001
