,r,T
0,1.014,-3.0144756973381717
1,1.074,-3.2624827017382985
2,1.115,-3.377451872507444
3,1.158,-3.3173368251274096
4,1.201,-3.05073338404161
5,1.241,-2.5457407122756517
6,1.275,-1.9425599846299992
7,1.306,-1.2892067765209332
8,1.331,-0.6229141461614837
9,1.355,-0.012801267200142822
10,1.376,0.6478193247705648
11,1.399,1.3122184652281428
12,1.423,2.0241277738562133
13,1.446,2.744965568832495
14,1.461,3.2728822532874386
15,1.466,3.442621355242763
16,1.542,4.381572721048805
17,1.582,4.447198849712379
18,1.618,4.100585840466542
19,1.644,3.4410093648745708
20,1.665,2.7429765280382434
21,1.683,1.928157855916075
22,1.698,1.137299486373797
23,1.712,0.28744572897782344
24,1.718,-0.16486301858854788
25,1.726,-0.5613864479695944
26,1.736,-1.270584695083794
27,1.749,-2.09725818328112
28,1.756,-2.4854791511079872
29,1.766,-3.103958872167238
30,1.775,-3.8538427473197574
31,1.784,-4.4267669988096445
32,1.793,-5.19065204940621
33,1.798,-5.66969939386288
34,1.811,-6.366147457637996
35,1.825,-6.981396496455055
36,1.834,-7.584652017260294
37,1.855,-8.202858428171119
38,1.865,-9.174976562333907
39,1.871,-9.52836789067637
40,1.876,-10.081220829856676
41,1.887,-10.891316029076464
42,1.9,-11.878794038744422
43,1.913,-12.804244894492498
44,1.928,-13.84709451927965
45,1.942,-14.863344972367743
46,1.958,-15.917575060447675
47,1.979,-17.038678313714193
48,2.003,-18.120479896664396
49,2.032,-18.945475301315877
50,2.057,-19.353240639752283
51,2.085,-19.616678042724125
52,2.121,-19.22467624269688
53,2.151,-18.324145553221594
54,2.174,-17.316159242259737
55,2.193,-16.281703676877473
56,2.21,-15.27976710794578
57,2.227,-14.25077629394228
58,2.243,-13.198396982737133
59,2.261,-11.954572948707167
60,2.278,-10.66472747271572
61,2.296,-9.308649950324371
62,2.314,-7.990170294832263
63,2.331,-6.697664296841867
64,2.35,-5.359506286470095
65,2.368,-4.017591537746783
66,2.387,-2.697072473716951
67,2.404,-1.5411041622981747
68,2.424,-0.3794281299963738
69,2.446,0.8551000445240304
70,2.473,2.1057059056590806
71,2.501,3.103106498692044
72,2.537,3.960111875670629
73,2.58,4.339636294450815
74,2.62,4.021530087708965
75,2.651,3.2433611524765853
76,2.706,2.2572916686864026
77,2.714,2.0289014475692526
78,2.736,1.1815359568604853
79,2.763,-0.13365798904300447
80,2.791,-1.4148793407577853
81,2.819,-2.6120118306317965
82,2.852,-3.839374643853709
83,2.89,-5.115777600795934
84,2.93,-6.124547286335644
85,2.973,-6.80605925412359
86,3.015,-7.006553513781497
87,3.056,-6.850641553761082
88,3.098,-6.180898409995092
89,3.14,-5.3545387045655355
90,3.172,-4.544623163764992
91,3.197,-4.013378761925005
92,3.227,-3.394892880077112
93,3.261,-2.795842046110017
94,3.301,-2.287476581469676
95,3.343,-2.056276094778851
96,3.386,-2.1266743850828553
97,3.426,-2.492665270139271
98,3.468,-3.138350008054426
99,3.502,-3.775109791822988
100,3.53,-4.38559906799502
101,3.552,-4.873924949657432
102,3.573,-5.335556314370277
103,3.603,-6.003824122842287
104,3.642,-6.7148008213741806
105,3.687,-7.260315454439142
106,3.728,-7.4539266869963186
107,3.771,-7.425725407835642
108,3.813,-7.11254583607207
109,3.854,-6.638812955073301
110,3.896,-6.205521895525198
111,3.938,-5.8294965579237905
112,3.98,-5.685034229445629
113,4.019,-5.827667542798014
114,4.055,-6.1430306199900775
115,4.084,-6.628621295363181
116,4.104,-7.051684599003814
117,4.118,-7.876545417096417
118,4.136,-8.552377520007791
119,4.173,-10.419881788763012
120,4.186,-10.868572763499001
121,4.22,-11.979333561078139
122,4.26,-13.143607697021544
123,4.3,-14.215260732475887
124,4.341,-14.970959542927096
125,4.381,-15.355336263196047
126,4.409,-15.395875292770674
127,4.441,-14.692670441812899
128,4.473,-13.411210436653917
129,4.496,-12.78293894465531
130,4.518,-11.672102906343092
131,4.525,-11.298817420118052
132,4.541,-10.74930905248893
133,4.552,-10.184570145997414
134,4.565,-9.71992613991276
135,4.59,-8.542038572328865
136,4.606,-7.91424445979814
137,4.651,-6.491698293981444
138,4.692,-4.608510916983331
139,4.741,-3.0187261576383677
140,4.771,-1.7994269978111652
141,4.813,-0.19119725097315876
142,4.852,1.1087034111029093
143,4.892,2.2818448246952676
144,4.927,3.0443605423361118
145,5.001,6.031956548264592
146,5.036,7.054957740244899
147,5.078,8.54134616403924
148,5.12,10.074264811986911
149,5.162,11.474443081227463
150,5.204,12.670698157703855
151,5.245,13.428465846383128
152,5.288,14.018946289085832
153,5.331,13.717647555683177
154,5.373,13.105577498321622
155,5.415,11.919578266013502
156,5.455,10.35531616734527
157,5.49,8.664542582362929
158,5.526,7.024146781014714
159,5.556,5.1394419000416685
160,5.591,3.502660436094865
161,5.624,1.6497558937022567
162,5.657,0.5091218638428248
163,5.689,-0.6689744181475891
164,5.717,-1.7732329164126406
165,5.754,-3.2720015738129833
166,5.795,-4.193994125956431
167,5.843,-4.984234952948157
168,5.89,-6.018106326053358
169,5.931,-6.8553898536860665
170,5.972,-7.652010816621561
171,5.996,-7.96809245733043
