,Q,F,dF
0,0.24,-0.405549,1.00E-07
1,0.28,-0.405327,0.000757398
2,0.32,-0.404379,0.000921227
3,0.36,-0.40254,0.00102957
4,0.4,-0.399657,0.00120653
5,0.44,-0.395851,0.001358
6,0.48,-0.391518,0.00141865
7,0.52,-0.387066,0.00067699
8,0.56,-0.382846,0.000701654
9,0.6,-0.378699,0.000755646
10,0.64,-0.374202,0.000792214
11,0.68,-0.368932,0.000869164
12,0.72,-0.362595,0.000930153
13,0.76,-0.355431,0.00098054
14,0.8,-0.347815,0.00106529
15,0.84,-0.340118,0.00111679
16,0.88,-0.33231,0.00116949
17,0.92,-0.323551,0.0012069
18,0.96,-0.312904,0.00130178
19,1,-0.299441,0.00133342
20,1.04,-0.282494,0.000536866
21,1.08,-0.261662,0.000552841
22,1.12,-0.236562,0.000571229
23,1.16,-0.206792,0.000603791
24,1.2,-0.171805,0.000640184
25,1.24,-0.130975,0.000686019
26,1.28,-0.0836719,0.000731497
27,1.32,-0.0302646,0.000788286
28,1.36,0.0242595,0.000878964
29,1.4,0.0735787,0.000941473
30,1.44,0.111379,0.00100823
31,1.48,0.133459,0.00105916
32,1.52,0.140597,0.00110881
33,1.56,0.134284,0.00113822
34,1.6,0.116041,0.00116158
35,1.64,0.0885173,0.00117985
36,1.68,0.0558023,0.00118969
37,1.72,0.0220808,0.000609623
38,1.76,-0.00865757,0.000596685
39,1.8,-0.0350833,0.000580655
40,1.84,-0.0577895,0.00057385
41,1.88,-0.0774116,0.000561306
42,1.92,-0.0945162,0.000555792
43,1.96,-0.109213,0.000550168
44,2,-0.121426,0.000546443
45,2.04,-0.131081,0.00054448
46,2.08,-0.138191,0.000544288
47,2.12,-0.143084,0.000545248
48,2.16,-0.146161,0.000549414
49,2.2,-0.147818,0.000549922
50,2.24,-0.148337,0.000563504
51,2.28,-0.147765,0.000565767
52,2.32,-0.146121,0.000572749
53,2.36,-0.143431,0.000575442
54,2.4,-0.139834,0.000584035
55,2.44,-0.135613,0.000593885
56,2.48,-0.131058,0.00060187
57,2.52,-0.126479,0.000610602
58,2.56,-0.122444,0.00061778
59,2.6,-0.119715,0.000622226
60,2.64,-0.11906,0.000628978
61,2.68,-0.121105,0.000631158
62,2.72,-0.125389,0.000637572
63,2.76,-0.130935,0.000637331
64,2.8,-0.136768,0.000639181
65,2.84,-0.142049,0.000639606
66,2.88,-0.146607,0.000643315
67,2.92,-0.15046,0.000645244
68,2.96,-0.153631,0.000647315
69,3,-0.156126,0.000552185
70,3.04,-0.157906,0.000552687
71,3.08,-0.158926,0.000559532
72,3.12,-0.15914,0.000558711
73,3.16,-0.158539,0.00056365
74,3.2,-0.157186,0.000566469
75,3.24,-0.155154,0.00057
76,3.28,-0.152515,0.000575058
77,3.32,-0.149299,0.000578868
78,3.36,-0.14548,0.000586442
79,3.4,-0.141025,0.000592995
80,3.44,-0.135905,0.000598164
81,3.48,-0.130093,0.000604336
82,3.52,-0.123574,0.000615166
83,3.56,-0.116328,0.000624453
84,3.6,-0.108341,0.000632726
85,3.64,-0.0996037,0.000641793
86,3.68,-0.0901165,0.000653887
87,3.72,-0.0798793,0.000662923
88,3.76,-0.0688861,0.0006743
89,3.8,-0.0570635,0.00069155
90,3.84,-0.0442961,0.000705113
91,3.88,-0.030468,0.000716814
92,3.92,-0.0154772,0.000731643
93,3.96,0.000657464,0.00074846
94,4,0.0178558,0.000766915
95,4.04,0.0360369,0.000779283
96,4.08,0.055072,0.000798727
97,4.12,0.0744939,0.000818311
98,4.16,0.0936901,0.000835552
99,4.2,0.112047,0.000851795
100,4.24,0.129008,0.000870049
101,4.28,0.144351,0.000888882
102,4.32,0.157987,0.000901017
103,4.36,0.169821,0.000917328
104,4.4,0.179782,0.000932661
105,4.44,0.187897,0.000943766
106,4.48,0.194228,0.0009549
107,4.52,0.198839,0.000964823
108,4.56,0.201824,0.000976163
109,4.6,0.203455,0.000983219
110,4.64,0.204058,0.000989556
111,4.68,0.203961,0.000993893
112,4.72,0.203407,0.00100057
113,4.76,0.202157,0.0010046
114,4.8,0.199811,0.00101393
115,4.84,0.195968,0.0010169
116,4.88,0.190215,0.00102027
117,4.92,0.182067,0.00102038
118,4.96,0.171013,0.00102023
119,5,0.156542,0.00101663
120,5.04,0.138276,0.00100689
121,5.08,0.116729,0.000996989
122,5.12,0.0927905,0.000984173
123,5.16,0.0673492,0.000967172
124,5.2,0.0412948,0.00095397
125,5.24,0.0155205,0.000935435
126,5.28,-0.00907855,0.000924179
127,5.32,-0.0316073,0.000908575
128,5.36,-0.0512297,0.000903703
129,5.4,-0.0677649,0.000889975
130,5.44,-0.0814404,0.000890482
131,5.48,-0.0924897,0.000886989
132,5.52,-0.101149,0.000887485
133,5.56,-0.107705,0.000881935
134,5.6,-0.112481,0.00088511
135,5.64,-0.115805,0.000887731
136,5.68,-0.117998,0.000895162
137,5.72,-0.119265,0.00090141
138,5.76,-0.119674,0.000904741
139,5.8,-0.119285,0.000913482
140,5.84,-0.118159,0.000924086
141,5.88,-0.116438,0.000929497
142,5.92,-0.114404,0.000934298
143,5.96,-0.112354,0.000939244
144,6,-0.110582,0.000950405
145,6.04,-0.109274,0.000960372
146,6.08,-0.108305,0.000964352
147,6.12,-0.107498,0.000971118
148,6.16,-0.106677,0.000983462
149,6.2,-0.105696,0.000990979
150,6.24,-0.104568,0.000999165
151,6.28,-0.103356,0.000995502
152,6.32,-0.102126,0.00100448
153,6.36,-0.100928,0.0010208
154,6.4,-0.0996879,0.00102214
155,6.44,-0.0982584,0.00101972
156,6.48,-0.0964896,0.00103831
157,6.52,-0.0942339,0.00104669
158,6.56,-0.091404,0.00105086
159,6.6,-0.0879815,0.00106186
160,6.64,-0.083952,0.00107495
161,6.68,-0.0793008,0.00107784
162,6.72,-0.0740108,0.00109751
163,6.75999,-0.0680575,0.0011003
164,6.79999,-0.0614157,0.00111493
165,6.83999,-0.0540601,0.00113179
166,6.87999,-0.0459825,0.00113859
167,6.91999,-0.0372801,0.00116351
168,6.95999,-0.0280895,0.00117512
169,6.99999,-0.0185475,0.00118414
170,7.03999,-0.00879245,0.00120917
171,7.07999,0.00100991,0.00121443
172,7.11999,0.0106677,0.00123423
173,7.15999,0.019988,0.00125359
174,7.19999,0.028778,0.00127092
175,7.23999,0.0368731,0.00128458
176,7.27999,0.0441792,0.00129106
177,7.31999,0.0506132,0.00130716
178,7.35999,0.0560919,0.00131507
179,7.39999,0.0605345,0.00133744
180,7.43999,0.0638825,0.00133718
181,7.47999,0.0660879,0.00134627
182,7.51999,0.0671028,0.00135116
183,7.55999,0.0668815,0.00135843
184,7.59999,0.0654944,0.00136
185,7.63999,0.0631928,0.00136758
186,7.67999,0.0602433,0.00136122
187,7.71999,0.0569126,0.00135988
188,7.75999,0.0534538,0.00137112
189,7.79999,0.0500402,0.00137557
190,7.83999,0.0468159,0.00136385
191,7.87999,0.0439249,0.00137485
192,7.91999,0.0415094,0.00136915
193,7.95999,0.0396249,0.00137515
194,7.99999,0.0382068,0.00138232
195,8.03999,0.037182,0.00138554
196,8.07999,0.0364771,0.0013791
197,8.11999,0.03603,0.00138224
198,8.15999,0.0358495,0.00139718
199,8.19999,0.035973,0.00139496
200,8.23999,0.0364375,0.00140022
201,8.27999,0.0372795,0.00141129
202,8.31999,0.0384518,0.00140876
203,8.35999,0.0397568,0.00142254
204,8.39999,0.0409809,0.0014224
205,8.43999,0.0419106,0.00142643
206,8.47999,0.0423488,0.00144036
207,8.51999,0.0422833,0.00144271
208,8.55999,0.0418195,0.00144485
209,8.59999,0.0410648,0.00144338
