463
Q(A-1)	73F(Q)
0.4	-0.26134
0.45	-0.25414
0.5	-0.24631
0.55	-0.24095
0.6	-0.23635
0.65	-0.23112
0.7	-0.22502
0.75	-0.21683
0.8	-0.20985
0.85	-0.20396
0.9	-0.19582
0.95	-0.18564
1	-0.17368
1.05	-0.15935
1.1	-0.14193
1.15	-0.12315
1.2	-0.09956
1.25	-0.07397
1.3	-0.04691
1.35	-0.0196
1.4	0.00426
1.45	0.02286
1.5	0.02967
1.55	0.02854
1.6	0.01813
1.65	0.00168
1.7	-0.01869
1.75	-0.03786
1.8	-0.05615
1.85	-0.07175
1.9	-0.08579
1.95	-0.09634
2	-0.10485
2.05	-0.10962
2.1	-0.11111
2.15	-0.11137
2.2	-0.1086
2.25	-0.1046
2.3	-0.09804
2.35	-0.08705
2.4	-0.07162
2.45	-0.05209
2.5	-0.02758
2.55	-0.00336
2.6	0.01665
2.65	0.02739
2.7	0.02361
2.75	0.01013
2.8	-0.00943
2.85	-0.029
2.9	-0.04702
2.95	-0.06137
3	-0.07143
3.05	-0.07967
3.1	-0.0858
3.15	-0.09082
3.2	-0.09327
3.25	-0.09364
3.3	-0.09541
3.35	-0.09545
3.4	-0.09424
3.45	-0.09125
3.5	-0.08922
3.55	-0.08459
3.6	-0.07994
3.65	-0.07513
3.7	-0.06907
3.75	-0.06361
3.8	-0.05667
3.85	-0.04828
3.9	-0.03841
3.95	-0.02926
4	-0.01944
4.05	-0.00613
4.1	0.00712
4.15	0.02015
4.2	0.03393
4.25	0.049
4.3	0.06473
4.35	0.07824
4.4	0.09183
4.45	0.10374
4.5	0.11473
4.55	0.12428
4.6	0.13223
4.65	0.13952
4.7	0.14566
4.75	0.15121
4.8	0.15487
4.85	0.15856
4.9	0.15997
4.95	0.15772
5	0.15004
5.05	0.13705
5.1	0.11946
5.15	0.09974
5.2	0.07467
5.25	0.04851
5.3	0.02208
5.35	0.00077
5.4	-0.01987
5.45	-0.03773
5.5	-0.05111
5.55	-0.06138
5.6	-0.07064
5.65	-0.0773
5.7	-0.08317
5.75	-0.08555
5.8	-0.08769
5.85	-0.08903
5.9	-0.0898
