Q,F,dF
0.462852447,-1.192282,0.05
0.465937418,-1.192704,0.05
0.469022375,-1.193468,0.05
0.472107317,-1.19429,0.05
0.475192245,-1.195293,0.05
0.478277159,-1.196611,0.05
0.481362058,-1.19752,0.05
0.484446942,-1.1978550000000001,0.05
0.487531812,-1.198351,0.05
0.490616666,-1.199139,0.05
0.493701506,-1.199353,0.05
0.496786331,-1.199341,0.05
0.49987114,-1.200077,0.05
0.502955935,-1.200978,0.05
0.506040714,-1.200926,0.05
0.509125478,-1.200378,0.05
0.512210226,-1.200608,0.05
0.515294958,-1.201295,0.05
0.518379675,-1.202114,0.05
0.521464376,-1.203196,0.05
0.524549061,-1.203885,0.05
0.527633731,-1.20448,0.05
0.530718384,-1.205175,0.05
0.533803021,-1.205163,0.05
0.536887641,-1.204323,0.05
0.539972246,-1.203459,0.05
0.543056834,-1.203416,0.05
0.546141405,-1.203743,0.05
0.54922596,-1.204043,0.05
0.552310498,-1.204429,0.05
0.555395019,-1.204673,0.05
0.558479523,-1.205259,0.05
0.56156401,-1.205732,0.05
0.56464848,-1.205512,0.05
0.567732933,-1.204829,0.05
0.570817369,-1.203896,0.05
0.573901787,-1.203866,0.05
0.576986188,-1.2046999999999999,0.05
0.580070571,-1.205717,0.05
0.583154937,-1.206839,0.05
0.586239284,-1.207863,0.05
0.589323614,-1.208888,0.05
0.592407926,-1.209422,0.05
0.59549222,-1.209283,0.05
0.598576496,-1.208823,0.05
0.601660753,-1.208614,0.05
0.604744993,-1.209486,0.05
0.607829213,-1.210662,0.05
0.610913416,-1.211117,0.05
0.613997599,-1.210839,0.05
0.617081764,-1.210254,0.05
0.62016591,-1.20947,0.05
0.623250038,-1.208308,0.05
0.626334146,-1.207322,0.05
0.629418235,-1.206863,0.05
0.632502305,-1.206826,0.05
0.635586356,-1.207039,0.05
0.638670387,-1.207177,0.05
0.641754399,-1.207303,0.05
0.644838392,-1.207592,0.05
0.647922364,-1.208049,0.05
0.651006317,-1.208315,0.05
0.65409025,-1.208518,0.05
0.657174164,-1.209357,0.05
0.660258057,-1.210044,0.05
0.66334193,-1.210048,0.05
0.666425783,-1.210053,0.05
0.669509616,-1.210209,0.05
0.672593428,-1.209754,0.05
0.67567722,-1.208229,0.05
0.678760991,-1.206527,0.05
0.681844741,-1.205375,0.05
0.684928471,-1.205008,0.05
0.68801218,-1.204822,0.05
0.691095868,-1.204264,0.05
0.694179534,-1.204199,0.05
0.69726318,-1.204714,0.05
0.700346804,-1.205131,0.05
0.703430408,-1.20491,0.05
0.706513989,-1.204527,0.05
0.709597549,-1.204816,0.05
0.712681088,-1.205391,0.05
0.715764605,-1.205807,0.05
0.7188481,-1.205661,0.05
0.721931573,-1.205305,0.05
