,Q,F,dF
0,-0.537147553,-0.192282,0
1,-0.534062582,-0.192704,0
2,-0.530977625,-0.193468,0
3,-0.527892683,-0.19429,0
4,-0.524807755,-0.195293,0
5,-0.521722841,-0.196611,0
6,-0.518637942,-0.19752,0
7,-0.515553058,-0.197855,0
8,-0.512468188,-0.198351,0
9,-0.509383334,-0.199139,0
10,-0.506298494,-0.199353,0
11,-0.503213669,-0.199341,0
12,-0.50012886,-0.200077,0
13,-0.497044065,-0.200978,0
14,-0.493959286,-0.200926,0
15,-0.490874522,-0.200378,0
16,-0.487789774,-0.200608,0
17,-0.484705042,-0.201295,0
18,-0.481620325,-0.202114,0
19,-0.478535624,-0.203196,0
20,-0.475450939,-0.203885,0
21,-0.472366269,-0.20448,0
22,-0.469281616,-0.205175,0
23,-0.466196979,-0.205163,0
24,-0.463112359,-0.204323,0
25,-0.460027754,-0.203459,0
26,-0.456943166,-0.203416,0
27,-0.453858595,-0.203743,0
28,-0.45077404,-0.204043,0
29,-0.447689502,-0.204429,0
30,-0.444604981,-0.204673,0
31,-0.441520477,-0.205259,0
32,-0.43843599,-0.205732,0
33,-0.43535152,-0.205512,0
34,-0.432267067,-0.204829,0
35,-0.429182631,-0.203896,0
36,-0.426098213,-0.203866,0
37,-0.423013812,-0.2047,0
38,-0.419929429,-0.205717,0
39,-0.416845063,-0.206839,0
40,-0.413760716,-0.207863,0
41,-0.410676386,-0.208888,0
42,-0.407592074,-0.209422,0
43,-0.40450778,-0.209283,0
44,-0.401423504,-0.208823,0
45,-0.398339247,-0.208614,0
46,-0.395255007,-0.209486,0
47,-0.392170787,-0.210662,0
48,-0.389086584,-0.211117,0
49,-0.386002401,-0.210839,0
50,-0.382918236,-0.210254,0
51,-0.37983409,-0.20947,0
52,-0.376749962,-0.208308,0
53,-0.373665854,-0.207322,0
54,-0.370581765,-0.206863,0
55,-0.367497695,-0.206826,0
56,-0.364413644,-0.207039,0
57,-0.361329613,-0.207177,0
58,-0.358245601,-0.207303,0
59,-0.355161608,-0.207592,0
60,-0.352077636,-0.208049,0
61,-0.348993683,-0.208315,0
62,-0.34590975,-0.208518,0
63,-0.342825836,-0.209357,0
64,-0.339741943,-0.210044,0
65,-0.33665807,-0.210048,0
66,-0.333574217,-0.210053,0
67,-0.330490384,-0.210209,0
68,-0.327406572,-0.209754,0
69,-0.32432278,-0.208229,0
70,-0.321239009,-0.206527,0
71,-0.318155259,-0.205375,0
72,-0.315071529,-0.205008,0
73,-0.31198782,-0.204822,0
74,-0.308904132,-0.204264,0
75,-0.305820466,-0.204199,0
76,-0.30273682,-0.204714,0
77,-0.299653196,-0.205131,0
78,-0.296569592,-0.20491,0
79,-0.293486011,-0.204527,0
80,-0.290402451,-0.204816,0
81,-0.287318912,-0.205391,0
82,-0.284235395,-0.205807,0
83,-0.2811519,-0.205661,0
84,-0.278068427,-0.205305,0
85,-0.274984976,-0.204976,0
86,-0.271901547,-0.20424,0
87,-0.26881814,-0.20308,0
88,-0.265734755,-0.201611,0
89,-0.262651393,-0.200716,0
90,-0.259568053,-0.200453,0
91,-0.256484736,-0.200168,0
92,-0.253401442,-0.199797,0
93,-0.25031817,-0.199314,0
94,-0.247234921,-0.199263,0
95,-0.244151695,-0.199418,0
96,-0.241068492,-0.198841,0
97,-0.237985312,-0.197273,0
98,-0.234902155,-0.195355,0
99,-0.231819022,-0.194017,0
100,-0.228735912,-0.193013,0
101,-0.225652825,-0.192068,0
102,-0.222569762,-0.191164,0
103,-0.219486723,-0.190217,0
104,-0.216403708,-0.189703,0
105,-0.213320716,-0.189157,0
106,-0.210237748,-0.187958,0
107,-0.207154805,-0.186608,0
108,-0.204071885,-0.1855,0
109,-0.20098899,-0.184543,0
110,-0.197906119,-0.183697,0
111,-0.194823273,-0.183205,0
112,-0.191740451,-0.182912,0
113,-0.188657654,-0.182374,0
114,-0.185574881,-0.181068,0
115,-0.182492134,-0.178923,0
116,-0.179409411,-0.176795,0
117,-0.176326713,-0.175063,0
118,-0.17324404,-0.173496,0
119,-0.170161393,-0.17226,0
120,-0.16707877,-0.171129,0
121,-0.163996173,-0.169614,0
122,-0.160913602,-0.168055,0
123,-0.157831056,-0.166707,0
124,-0.154748536,-0.16518,0
125,-0.151666041,-0.163418,0
126,-0.148583573,-0.161737,0
127,-0.14550113,-0.160263,0
128,-0.142418713,-0.158874,0
129,-0.139336323,-0.157534,0
130,-0.136253959,-0.155815,0
131,-0.133171621,-0.153046,0
132,-0.130089309,-0.150038,0
133,-0.127007024,-0.148296,0
134,-0.123924765,-0.147713,0
135,-0.120842533,-0.146849,0
136,-0.117760328,-0.144825,0
137,-0.11467815,-0.14211,0
138,-0.111595999,-0.139396,0
139,-0.108513875,-0.136429,0
140,-0.105431778,-0.132706,0
141,-0.102349708,-0.128347,0
142,-0.099267666,-0.123913,0
143,-0.096185651,-0.120291,0
144,-0.093103663,-0.117623,0
145,-0.090021704,-0.115013,0
146,-0.086939771,-0.112375,0
147,-0.083857867,-0.110594,0
148,-0.080775991,-0.109353,0
149,-0.077694142,-0.107159,0
150,-0.074612322,-0.104366,0
151,-0.07153053,-0.10161,0
152,-0.068448766,-0.097948,0
153,-0.065367031,-0.093773,0
154,-0.062285324,-0.090186,0
155,-0.059203646,-0.086795,0
156,-0.056121996,-0.083598,0
157,-0.053040375,-0.081292,0
158,-0.049958783,-0.078534,0
159,-0.04687722,-0.074397,0
160,-0.043795685,-0.070163,0
161,-0.04071418,-0.065716,0
162,-0.037632705,-0.060626,0
163,-0.034551258,-0.055182,0
164,-0.031469841,-0.049364,0
165,-0.028388453,-0.043515,0
166,-0.025307096,-0.038142,0
167,-0.022225767,-0.033735,0
168,-0.019144469,-0.029555,0
169,-0.0160632,-0.024247,0
170,-0.012981961,-0.01777,0
171,-0.009900753,-0.011073,0
172,-0.006819574,-0.004571,0
173,-0.003738426,0.00212,0
174,-0.000657308,0.00877,0
175,0.002423779,0.014777,0
176,0.005504836,0.020207,0
177,0.008585862,0.025396,0
178,0.011666857,0.030899,0
179,0.014747822,0.03741,0
180,0.017828756,0.044615,0
181,0.020909659,0.051891,0
182,0.02399053,0.059339,0
183,0.027071371,0.066942,0
184,0.03015218,0.0749,0
185,0.033232958,0.082891,0
186,0.036313704,0.090316,0
187,0.039394419,0.09831,0
188,0.042475102,0.107142,0
189,0.045555753,0.115892,0
190,0.048636373,0.124645,0
191,0.05171696,0.133495,0
192,0.054797516,0.142236,0
193,0.057878039,0.151422,0
194,0.06095853,0.16161,0
195,0.064038989,0.171833,0
196,0.067119416,0.181513,0
197,0.07019981,0.191384,0
198,0.073280171,0.201612,0
199,0.0763605,0.212126,0
200,0.079440795,0.222898,0
201,0.082521058,0.233476,0
202,0.085601288,0.24371,0
203,0.088681485,0.254453,0
204,0.091761649,0.266081,0
205,0.094841779,0.277942,0
206,0.097921877,0.289732,0
207,0.10100194,0.301173,0
208,0.10408197,0.312226,0
209,0.107161967,0.32331,0
210,0.11024193,0.334938,0
211,0.113321859,0.346734,0
212,0.116401754,0.357981,0
213,0.119481615,0.369477,0
214,0.122561442,0.381979,0
215,0.125641235,0.395086,0
216,0.128720993,0.408248,0
217,0.131800717,0.421521,0
218,0.134880407,0.434873,0
219,0.137960062,0.44784,0
220,0.141039682,0.46082,0
221,0.144119268,0.473835,0
222,0.147198819,0.486311,0
223,0.150278334,0.498537,0
224,0.153357815,0.511181,0
225,0.156437261,0.524235,0
226,0.159516671,0.53747,0
227,0.162596046,0.551194,0
228,0.165675386,0.56514,0
229,0.16875469,0.578926,0
230,0.171833959,0.59269,0
231,0.174913192,0.605659,0
232,0.177992389,0.617032,0
233,0.18107155,0.627729,0
234,0.184150675,0.639184,0
235,0.187229764,0.650898,0
236,0.190308817,0.661851,0
237,0.193387834,0.673083,0
238,0.196466814,0.68501,0
239,0.199545758,0.69675,0
240,0.202624666,0.708401,0
241,0.205703537,0.719587,0
242,0.208782371,0.729641,0
243,0.211861168,0.739474,0
244,0.214939928,0.749452,0
245,0.218018651,0.758655,0
246,0.221097338,0.767284,0
247,0.224175986,0.776325,0
248,0.227254598,0.785226,0
249,0.230333172,0.793376,0
250,0.233411709,0.80171,0
251,0.236490209,0.809766,0
252,0.23956867,0.816221,0
253,0.242647094,0.8216,0
254,0.24572548,0.826467,0
255,0.248803828,0.830975,0
256,0.251882138,0.83575,0
257,0.25496041,0.840713,0
258,0.258038644,0.845174,0
259,0.261116839,0.848944,0
260,0.264194996,0.852211,0
261,0.267273114,0.854874,0
262,0.270351194,0.856666,0
263,0.273429235,0.85762,0
264,0.276507237,0.857834,0
265,0.279585201,0.857449,0
266,0.282663125,0.857346,0
267,0.28574101,0.857791,0
268,0.288818857,0.857426,0
269,0.291896664,0.855936,0
270,0.294974431,0.854134,0
271,0.298052159,0.851739,0
272,0.301129848,0.84877,0
273,0.304207497,0.84618,0
274,0.307285106,0.843844,0
275,0.310362675,0.84073,0
276,0.313440205,0.836433,0
277,0.316517694,0.831282,0
278,0.319595144,0.825742,0
279,0.322672553,0.820381,0
280,0.325749922,0.815444,0
281,0.32882725,0.810179,0
282,0.331904538,0.80528,0
283,0.334981786,0.802272,0
284,0.338058993,0.799771,0
285,0.341136159,0.795321,0
286,0.344213284,0.788545,0
287,0.347290368,0.780991,0
288,0.350367411,0.773741,0
289,0.353444413,0.766782,0
290,0.356521374,0.759693,0
291,0.359598294,0.751918,0
292,0.362675172,0.743749,0
293,0.365752008,0.73595,0
294,0.368828803,0.7288,0
295,0.371905557,0.721717,0
296,0.374982268,0.714429,0
297,0.378058938,0.706773,0
298,0.381135565,0.697854,0
299,0.384212151,0.688248,0
300,0.387288694,0.679025,0
301,0.390365195,0.670356,0
302,0.393441654,0.661489,0
303,0.39651807,0.651813,0
304,0.399594444,0.643186,0
305,0.402670775,0.636421,0
306,0.405747064,0.630018,0
307,0.408823309,0.622561,0
308,0.411899512,0.613865,0
309,0.414975672,0.605686,0
310,0.418051788,0.598252,0
311,0.421127862,0.590441,0
312,0.424203892,0.582097,0
313,0.427279879,0.573537,0
314,0.430355822,0.566173,0
315,0.433431721,0.560658,0
316,0.436507577,0.555709,0
317,0.43958339,0.549694,0
318,0.442659158,0.542548,0
319,0.445734882,0.535532,0
320,0.448810563,0.528251,0
321,0.451886199,0.520035,0
322,0.454961791,0.511648,0
323,0.458037339,0.50397,0
324,0.461112842,0.49765,0
325,0.464188301,0.492615,0
326,0.467263715,0.487841,0
327,0.470339085,0.482537,0
328,0.473414409,0.476792,0
329,0.476489689,0.470752,0
330,0.479564924,0.464374,0
331,0.482640114,0.45749,0
332,0.485715258,0.450072,0
333,0.488790358,0.44305,0
334,0.491865412,0.437011,0
335,0.49494042,0.430781,0
336,0.498015383,0.424301,0
337,0.501090301,0.418902,0
338,0.504165172,0.414081,0
339,0.507239998,0.409047,0
340,0.510314778,0.404522,0
341,0.513389512,0.400781,0
342,0.5164642,0.397831,0
343,0.519538842,0.39568,0
344,0.522613437,0.393209,0
345,0.525687986,0.388873,0
346,0.528762488,0.382753,0
347,0.531836944,0.376144,0
348,0.534911354,0.370152,0
349,0.537985716,0.365669,0
350,0.541060032,0.362374,0
351,0.5441343,0.359507,0
352,0.547208522,0.357162,0
353,0.550282697,0.35564,0
354,0.553356824,0.354542,0
355,0.556430904,0.352823,0
356,0.559504937,0.349994,0
357,0.562578922,0.346512,0
358,0.565652859,0.342904,0
359,0.568726749,0.339464,0
360,0.571800591,0.33602,0
361,0.574874385,0.332412,0
362,0.577948131,0.328985,0
363,0.581021829,0.326583,0
364,0.584095479,0.325264,0
365,0.587169081,0.324128,0
366,0.590242634,0.323101,0
367,0.593316139,0.321905,0
368,0.596389595,0.31998,0
369,0.599463003,0.318285,0
370,0.602536362,0.317529,0
371,0.605609672,0.317194,0
372,0.608682933,0.317063,0
373,0.611756146,0.316857,0
374,0.614829309,0.316238,0
375,0.617902423,0.315061,0
376,0.620975488,0.313867,0
377,0.624048503,0.313243,0
378,0.627121469,0.312833,0
379,0.630194385,0.312533,0
380,0.633267252,0.312544,0
381,0.636340068,0.312911,0
382,0.639412835,0.313595,0
383,0.642485553,0.314633,0
384,0.64555822,0.315982,0
385,0.648630837,0.317013,0
386,0.651703403,0.318243,0
387,0.65477592,0.32002,0
388,0.657848386,0.32079,0
389,0.660920801,0.320607,0
390,0.663993166,0.320968,0
391,0.66706548,0.321944,0
392,0.670137744,0.323376,0
393,0.673209956,0.325365,0
394,0.676282118,0.327186,0
395,0.679354228,0.3288,0
396,0.682426288,0.33044,0
397,0.685498296,0.331145,0
398,0.688570252,0.331376,0
399,0.691642158,0.332844,0
400,0.694714012,0.335541,0
401,0.697785814,0.338223,0
402,0.700857564,0.340765,0
403,0.703929263,0.344246,0
404,0.707000909,0.348518,0
405,0.710072504,0.352304,0
406,0.713144047,0.355073,0
407,0.716215537,0.35749,0
408,0.719286976,0.360494,0
409,0.722358361,0.363996,0
410,0.725429695,0.367307,0
411,0.728500975,0.370301,0
412,0.731572204,0.373288,0
413,0.734643379,0.376933,0
414,0.737714501,0.380995,0
415,0.740785571,0.385017,0
416,0.743856588,0.389971,0
417,0.746927551,0.395951,0
418,0.749998461,0.401646,0
419,0.753069318,0.406403,0
420,0.756140122,0.410942,0
421,0.759210872,0.416165,0
422,0.762281568,0.42155,0
423,0.765352211,0.426148,0
424,0.7684228,0.430668,0
425,0.771493335,0.436563,0
426,0.774563816,0.44334,0
427,0.777634244,0.449332,0
428,0.780704616,0.454467,0
