Q,SQ
0.462852447,-0.192282
0.465937418,-0.192704
0.469022375,-0.193468
0.472107317,-0.19429
0.475192245,-0.195293
0.478277159,-0.196611
0.481362058,-0.19752
0.484446942,-0.197855
0.487531812,-0.198351
0.490616666,-0.199139
0.493701506,-0.199353
0.496786331,-0.199341
0.49987114,-0.200077
0.502955935,-0.200978
0.506040714,-0.200926
0.509125478,-0.200378
0.512210226,-0.200608
0.515294958,-0.201295
0.518379675,-0.202114
0.521464376,-0.203196
0.524549061,-0.203885
0.527633731,-0.20448
0.530718384,-0.205175
0.533803021,-0.205163
0.536887641,-0.204323
0.539972246,-0.203459
0.543056834,-0.203416
0.546141405,-0.203743
0.54922596,-0.204043
0.552310498,-0.204429
0.555395019,-0.204673
0.558479523,-0.205259
0.56156401,-0.205732
0.56464848,-0.205512
0.567732933,-0.204829
0.570817369,-0.203896
0.573901787,-0.203866
0.576986188,-0.2047
0.580070571,-0.205717
0.583154937,-0.206839
0.586239284,-0.207863
0.589323614,-0.208888
0.592407926,-0.209422
0.59549222,-0.209283
0.598576496,-0.208823
0.601660753,-0.208614
0.604744993,-0.209486
0.607829213,-0.210662
0.610913416,-0.211117
0.613997599,-0.210839
0.617081764,-0.210254
0.62016591,-0.20947
0.623250038,-0.208308
0.626334146,-0.207322
0.629418235,-0.206863
0.632502305,-0.206826
0.635586356,-0.207039
0.638670387,-0.207177
0.641754399,-0.207303
0.644838392,-0.207592
0.647922364,-0.208049
0.651006317,-0.208315
0.65409025,-0.208518
0.657174164,-0.209357
0.660258057,-0.210044
0.66334193,-0.210048
0.666425783,-0.210053
0.669509616,-0.210209
0.672593428,-0.209754
0.67567722,-0.208229
0.678760991,-0.206527
0.681844741,-0.205375
0.684928471,-0.205008
0.68801218,-0.204822
0.691095868,-0.204264
0.694179534,-0.204199
0.69726318,-0.204714
0.700346804,-0.205131
0.703430408,-0.20491
0.706513989,-0.204527
0.709597549,-0.204816
0.712681088,-0.205391
0.715764605,-0.205807
0.7188481,-0.205661
0.721931573,-0.205305
0.725015024,-0.204976
0.728098453,-0.20424
0.73118186,-0.20308
0.734265245,-0.201611
0.737348607,-0.200716
0.740431947,-0.200453
0.743515264,-0.200168
0.746598558,-0.199797
0.74968183,-0.199314
0.752765079,-0.199263
0.755848305,-0.199418
0.758931508,-0.198841
0.762014688,-0.197273
0.765097845,-0.195355
0.768180978,-0.194017
0.771264088,-0.193013
0.774347175,-0.192068
0.777430238,-0.191164
0.780513277,-0.190217
0.783596292,-0.189703
0.786679284,-0.189157
0.789762252,-0.187958
0.792845195,-0.186608
0.795928115,-0.1855
0.79901101,-0.184543
0.802093881,-0.183697
0.805176727,-0.183205
0.808259549,-0.182912
0.811342346,-0.182374
0.814425119,-0.181068
0.817507866,-0.178923
0.820590589,-0.176795
0.823673287,-0.175063
0.82675596,-0.173496
0.829838607,-0.17226
0.83292123,-0.171129
0.836003827,-0.169614
0.839086398,-0.168055
0.842168944,-0.166707
0.845251464,-0.16518
0.848333959,-0.163418
0.851416427,-0.161737
0.85449887,-0.160263
0.857581287,-0.158874
0.860663677,-0.157534
0.863746041,-0.155815
0.866828379,-0.153046
0.869910691,-0.150038
0.872992976,-0.148296
0.876075235,-0.147713
0.879157467,-0.146849
0.882239672,-0.144825
0.88532185,-0.14211
0.888404001,-0.139396
0.891486125,-0.136429
0.894568222,-0.132706
0.897650292,-0.128347
0.900732334,-0.123913
0.903814349,-0.120291
0.906896337,-0.117623
0.909978296,-0.115013
0.913060229,-0.112375
0.916142133,-0.110594
0.919224009,-0.109353
0.922305858,-0.107159
0.925387678,-0.104366
0.92846947,-0.10161
0.931551234,-0.097948
0.934632969,-0.093773
0.937714676,-0.090186
0.940796354,-0.086795
0.943878004,-0.083598
0.946959625,-0.081292
0.950041217,-0.078534
0.95312278,-0.074397
0.956204315,-0.070163
0.95928582,-0.065716
0.962367295,-0.060626
0.965448742,-0.055182
0.968530159,-0.049364
0.971611547,-0.043515
0.974692904,-0.038142
0.977774233,-0.033735
0.980855531,-0.029555
0.9839368,-0.024247
0.987018039,-0.01777
0.990099247,-0.011073
0.993180426,-0.004571
0.996261574,0.00212
0.999342692,0.00877
1.002423779,0.014777
1.005504836,0.020207
1.008585862,0.025396
1.011666857,0.030899
1.014747822,0.03741
1.017828756,0.044615
1.020909659,0.051891
1.02399053,0.059339
1.027071371,0.066942
1.03015218,0.0749
1.033232958,0.082891
1.036313704,0.090316
1.039394419,0.09831
1.042475102,0.107142
1.045555753,0.115892
1.048636373,0.124645
1.05171696,0.133495
1.054797516,0.142236
1.057878039,0.151422
1.06095853,0.16161
1.064038989,0.171833
1.067119416,0.181513
1.07019981,0.191384
1.073280171,0.201612
1.0763605,0.212126
1.079440795,0.222898
1.082521058,0.233476
1.085601288,0.24371
1.088681485,0.254453
1.091761649,0.266081
1.094841779,0.277942
1.097921877,0.289732
1.10100194,0.301173
1.10408197,0.312226
1.107161967,0.32331
1.11024193,0.334938
1.113321859,0.346734
1.116401754,0.357981
1.119481615,0.369477
1.122561442,0.381979
1.125641235,0.395086
1.128720993,0.408248
1.131800717,0.421521
1.134880407,0.434873
1.137960062,0.44784
1.141039682,0.46082
1.144119268,0.473835
1.147198819,0.486311
1.150278334,0.498537
1.153357815,0.511181
1.156437261,0.524235
1.159516671,0.53747
1.162596046,0.551194
1.165675386,0.56514
1.16875469,0.578926
1.171833959,0.59269
1.174913192,0.605659
1.177992389,0.617032
1.18107155,0.627729
1.184150675,0.639184
1.187229764,0.650898
1.190308817,0.661851
1.193387834,0.673083
1.196466814,0.68501
1.199545758,0.69675
1.202624666,0.708401
1.205703537,0.719587
1.208782371,0.729641
1.211861168,0.739474
1.214939928,0.749452
1.218018651,0.758655
1.221097338,0.767284
1.224175986,0.776325
1.227254598,0.785226
1.230333172,0.793376
1.233411709,0.80171
1.236490209,0.809766
1.23956867,0.816221
1.242647094,0.8216
1.24572548,0.826467
1.248803828,0.830975
1.251882138,0.83575
1.25496041,0.840713
1.258038644,0.845174
1.261116839,0.848944
1.264194996,0.852211
1.267273114,0.854874
1.270351194,0.856666
1.273429235,0.85762
1.276507237,0.857834
1.279585201,0.857449
1.282663125,0.857346
1.28574101,0.857791
1.288818857,0.857426
1.291896664,0.855936
1.294974431,0.854134
1.298052159,0.851739
1.301129848,0.84877
1.304207497,0.84618
1.307285106,0.843844
1.310362675,0.84073
1.313440205,0.836433
1.316517694,0.831282
1.319595144,0.825742
1.322672553,0.820381
1.325749922,0.815444
1.32882725,0.810179
1.331904538,0.80528
1.334981786,0.802272
1.338058993,0.799771
1.341136159,0.795321
1.344213284,0.788545
1.347290368,0.780991
1.350367411,0.773741
1.353444413,0.766782
1.356521374,0.759693
1.359598294,0.751918
1.362675172,0.743749
1.365752008,0.73595
1.368828803,0.7288
1.371905557,0.721717
1.374982268,0.714429
1.378058938,0.706773
1.381135565,0.697854
1.384212151,0.688248
