r,G_r
0.01,-0.006186
0.02,-0.012353
0.03,-0.01848
0.04,-0.024551
0.05,-0.030549
0.06,-0.03646
0.07,-0.042276
0.08,-0.047989
0.09,-0.053596
0.1,-0.059098
0.11,-0.064499
0.12,-0.069807
0.13,-0.075035
0.14,-0.080195
0.15,-0.085305
0.16,-0.090383
0.17,-0.09545
0.18,-0.100526
0.19,-0.10563
0.2,-0.110781
0.21,-0.115999
0.22,-0.121296
0.23,-0.126687
0.24,-0.13218
0.25,-0.137781
0.26,-0.143491
0.27,-0.149308
0.28,-0.155226
0.29,-0.161237
0.3,-0.167325
0.31,-0.173477
0.32,-0.179672
0.33,-0.185892
0.34,-0.192115
0.35,-0.19832
0.36,-0.204486
0.37,-0.210593
0.38,-0.216625
0.39,-0.222565
0.4,-0.228402
0.41,-0.234127
0.42,-0.239737
0.43,-0.24523
0.44,-0.250611
0.45,-0.255888
0.46,-0.261073
0.47,-0.26618
0.48,-0.271228
0.49,-0.276238
0.5,-0.281231
0.51,-0.286232
0.52,-0.291261
0.53,-0.296343
0.54,-0.301497
0.55,-0.306742
0.56,-0.312093
0.57,-0.317561
0.58,-0.323154
0.59,-0.328876
0.6,-0.334723
0.61,-0.340692
0.62,-0.34677
0.63,-0.352943
0.64,-0.359193
0.65,-0.365498
0.66,-0.371835
0.67,-0.378178
0.68,-0.384502
0.69,-0.39078
0.7,-0.396988
0.71,-0.403105
0.72,-0.40911
0.73,-0.414989
0.74,-0.420729
0.75,-0.426326
0.76,-0.431776
0.77,-0.437086
0.78,-0.442263
0.79,-0.447323
0.8,-0.452283
0.81,-0.457168
0.82,-0.462004
0.83,-0.466818
0.84,-0.471641
0.85,-0.476503
0.86,-0.481434
0.87,-0.486461
0.88,-0.491609
0.89,-0.496898
0.9,-0.502344
0.91,-0.507958
0.92,-0.513744
0.93,-0.5197
0.94,-0.525818
0.95,-0.532084
0.96,-0.538477
0.97,-0.544972
0.98,-0.551538
0.99,-0.558141
1,-0.564746
1.01,-0.571316
1.02,-0.577813
1.03,-0.584204
1.04,-0.590455
1.05,-0.596539
1.06,-0.602435
1.07,-0.608125
1.08,-0.613603
1.09,-0.618868
1.1,-0.623928
1.11,-0.628798
1.12,-0.633503
1.13,-0.638074
1.14,-0.642549
1.15,-0.64697
1.16,-0.651383
1.17,-0.655838
1.18,-0.660383
1.19,-0.665064
1.2,-0.669926
1.21,-0.675007
1.22,-0.680337
1.23,-0.685939
1.24,-0.691825
1.25,-0.697997
1.26,-0.704443
1.27,-0.711142
1.28,-0.71806
1.29,-0.725151
1.3,-0.732361
1.31,-0.739628
1.32,-0.746882
1.33,-0.754051
1.34,-0.761062
1.35,-0.767843
1.36,-0.774329
1.37,-0.780463
1.38,-0.786199
1.39,-0.791506
1.4,-0.796369
1.41,-0.800795
1.42,-0.80481
1.43,-0.808463
1.44,-0.811827
1.45,-0.814994
1.46,-0.818079
1.47,-0.821215
1.48,-0.824551
1.49,-0.828248
1.5,-0.832471
1.51,-0.837389
1.52,-0.843164
1.53,-0.849947
1.54,-0.857869
1.55,-0.867037
1.56,-0.877521
1.57,-0.889351
1.58,-0.902509
1.59,-0.916925
1.6,-0.932467
1.61,-0.94894
1.62,-0.966083
1.63,-0.983568
1.64,-1.000995
1.65,-1.017901
1.66,-1.033759
1.67,-1.047983
1.68,-1.059937
1.69,-1.068943
1.7,-1.074291
1.71,-1.075253
1.72,-1.071093
1.73,-1.061087
1.74,-1.044532
1.75,-1.020767
1.76,-0.989187
1.77,-0.949262
1.78,-0.900548
1.79,-0.842708
1.8,-0.775521
1.81,-0.698896
1.82,-0.612884
1.83,-0.517684
1.84,-0.413649
1.85,-0.30129
1.86,-0.181276
1.87,-0.054432
1.88,0.07827
1.89,0.215716
1.9,0.356667
1.91,0.499768
1.92,0.643571
1.93,0.786551
1.94,0.927133
1.95,1.063709
1.96,1.194671
1.97,1.318431
1.98,1.433452
1.99,1.53827
2,1.631523
2.01,1.711974
2.02,1.778535
2.03,1.830286
2.04,1.866493
2.05,1.886624
2.06,1.890359
2.07,1.877602
2.08,1.848479
2.09,1.80334
2.1,1.742761
2.11,1.667525
2.12,1.57862
2.13,1.477218
2.14,1.364659
2.15,1.242425
2.16,1.112119
2.17,0.975437
2.18,0.834138
2.19,0.690017
2.2,0.544872
2.21,0.400476
2.22,0.258545
2.23,0.120711
2.24,-0.011502
2.25,-0.136707
2.26,-0.253671
2.27,-0.361337
2.28,-0.458836
2.29,-0.545499
2.3,-0.620864
2.31,-0.684677
2.32,-0.736894
2.33,-0.777675
2.34,-0.807371
2.35,-0.826517
2.36,-0.835813
2.37,-0.836105
2.38,-0.828363
2.39,-0.81366
2.4,-0.793146
2.41,-0.768021
2.42,-0.739512
2.43,-0.708844
2.44,-0.677216
2.45,-0.645778
2.46,-0.615608
2.47,-0.587695
2.48,-0.562917
2.49,-0.542031
2.5,-0.52566
2.51,-0.514288
2.52,-0.50825
2.53,-0.507738
2.54,-0.512799
2.55,-0.523342
2.56,-0.539148
2.57,-0.559881
2.58,-0.585099
2.59,-0.614273
2.6,-0.646805
2.61,-0.682042
2.62,-0.719299
2.63,-0.757877
2.64,-0.79708
2.65,-0.836237
2.66,-0.874712
2.67,-0.911925
2.68,-0.947362
2.69,-0.980586
2.7,-1.011245
2.71,-1.03908
2.72,-1.063922
2.73,-1.085698
2.74,-1.104426
2.75,-1.120207
2.76,-1.133224
2.77,-1.143724
2.78,-1.152013
2.79,-1.158439
2.8,-1.163378
2.81,-1.167223
2.82,-1.170364
2.83,-1.173172
2.84,-1.17599
2.85,-1.179116
2.86,-1.182787
2.87,-1.187177
2.88,-1.192379
2.89,-1.198402
2.9,-1.20517
2.91,-1.212513
2.92,-1.220174
2.93,-1.227809
2.94,-1.234993
2.95,-1.241228
2.96,-1.245953
2.97,-1.248559
2.98,-1.248395
2.99,-1.244793
3,-1.237077
3.01,-1.22458
3.02,-1.206664
3.03,-1.182735
3.04,-1.152257
3.05,-1.114769
3.06,-1.0699
3.07,-1.017376
