,Q,F,dF
0,0.01,-0.9262753330632666,1e-7
1,0.02,-0.9277327195645625,1e-7
2,0.03,-0.930096159054042,1e-7
3,0.04,-0.9332704769733684,1e-7
4,0.05,-0.9371285134203287,1e-7
5,0.060000000000000005,-0.9415168553813603,1e-7
6,0.06999999999999999,-0.9462627163146539,1e-7
7,0.08,-0.9511816318403817,1e-7
8,0.09,-0.9560856013421904,1e-7
9,0.09999999999999999,-0.9607912857751354,1e-7
10,0.11,-0.9651278720348823,1e-7
11,0.12,-0.9689442337210533,1e-7
12,0.13,-0.9721150559375612,1e-7
13,0.14,-0.9745456459024876,1e-7
14,0.15000000000000002,-0.976175218752001,1e-7
15,0.16,-0.9769785255020624,1e-7
16,0.17,-0.9769657736701112,1e-7
17,0.18000000000000002,-0.9761808762639481,1e-7
18,0.19,-0.9746981473632758,1e-7
19,0.2,-0.9726176381620332,0.0001
20,0.21000000000000002,-0.970059372299211,1e-7
21,0.22,-0.96715679035117,0.0001
22,0.23,-0.9640497479999703,0.0001
23,0.24000000000000002,-0.9608774290067116,0.0001
24,0.25,-0.9577715320293081,0.0001
25,0.26,-0.9548500698289815,0.0001
26,0.27,-0.9522120817614866,0.0001
27,0.28,-0.9499335077826299,0.0001
28,0.29000000000000004,-0.9480644074129485,0.0001
29,0.3,-0.9466276337115798,0.0001
30,0.31,-0.9456189942324243,0.0001
31,0.32,-0.9450088523158199,0.0001
32,0.33,-0.944745047036907,0.0001
33,0.34,-0.9447569425932222,0.0001
34,0.35000000000000003,-0.9449603613443797,0.0001
35,0.36000000000000004,-0.9452631119817163,0.0001
36,0.37,-0.9455707975139456,0.0001
37,0.38,-0.9457925781515361,0.0001
38,0.39,-0.9458465720801557,0.0001
39,0.4,-0.9456646019211902,0.0001
40,0.41000000000000003,-0.9451960348800861,0.0001
41,0.42000000000000004,-0.9444105178684935,0.0001
42,0.43,-0.9432994722626533,0.0001
43,0.44,-0.9418762829226447,0.0001
44,0.45,-0.940175188815942,0.0001
45,0.46,-0.9382489541184881,0.0001
46,0.47000000000000003,-0.93616546515694,0.0001
47,0.48000000000000004,-0.9340034564574209,0.0001
48,0.49,-0.9318476154190535,0.0001
49,0.5,-0.9297833473249145,0.0001
50,0.51,-0.927891498904876,0.0001
51,0.52,-0.9262433386985407,0.0001
52,0.53,-0.924896076151792,0.0001
53,0.54,-0.9238891697201587,0.0001
54,0.55,-0.9232416290729892,0.0001
55,0.56,-0.9229504603417618,0.0001
56,0.5700000000000001,-0.9229903393602049,0.0001
57,0.5800000000000001,-0.9233145295369163,0.0001
58,0.59,-0.923856992130348,0.0001
59,0.6,-0.9245355710193466,0.0001
60,0.61,-0.9252560751447652,0.0001
61,0.62,-0.9259170328191199,0.0001
62,0.63,-0.9264148556869329,0.0001
63,0.64,-0.9266491281988666,0.0001
64,0.65,-0.926527732172916,0.0001
65,0.66,-0.9259715256370329,0.0001
66,0.67,-0.9249183200959656,0.0001
67,0.68,-0.9233259392274595,0.0001
68,0.6900000000000001,-0.921174192626508,0.0001
69,0.7000000000000001,-0.9184656577890584,0.0001
70,0.7100000000000001,-0.9152252287910756,0.0001
71,0.72,-0.9114984575112848,0.0001
72,0.73,-0.9073487791000748,0.0001
73,0.74,-0.9028537741433486,0.0001
74,0.75,-0.8981006723283876,0.0001
75,0.76,-0.8931813435746848,0.0001
76,0.77,-0.8881870503479902,0.0001
77,0.78,-0.883203247764979,0.0001
78,0.79,-0.878304715462299,0.0001
79,0.8,-0.8735512872317801,0.0001
80,0.81,-0.8689844121252885,0.0001
81,0.8200000000000001,-0.8646247358896474,0.0001
82,0.8300000000000001,-0.8604708366554926,0.0001
83,0.8400000000000001,-0.8564991867598521,0.0001
84,0.85,-0.8526653467873289,0.0001
85,0.86,-0.848906331913847,0.0001
86,0.87,-0.8451440279705057,0.0001
87,0.88,-0.8412894786586059,0.0001
88,0.89,-0.8372478190110724,0.0001
89,0.9,-0.8329235959482671,0.0001
90,0.91,-0.8282261963940546,0.0001
91,0.92,-0.8230750979241009,0.0001
92,0.93,-0.8174046665317489,0.0001
93,0.9400000000000001,-0.8111682502253231,0.0001
94,0.9500000000000001,-0.8043413544483266,0.0001
95,0.9600000000000001,-0.7969237336791579,0.0001
96,0.97,-0.7889402903787696,0.0001
97,0.98,-0.7804407346388221,0.0001
98,0.99,-0.7714980221009478,0.0001
99,1.0,-0.762205650548707,0.0001
100,1.01,-0.7526739536994973,0.0001
101,1.02,-0.743025581106393,0.0001
102,1.03,-0.7333903931241258,0.0001
103,1.04,-0.7239000275817528,0.0001
104,1.05,-0.7146824088012915,0.0001
105,1.06,-0.7058564693182307,0.0001
106,1.07,-0.6975273402795693,0.0001
107,1.08,-0.6897822389548105,0.0001
108,1.09,-0.6826872427272445,0.0001
109,1.1,-0.6762850905679917,0.0001
110,1.11,-0.6705940980361433,0.0001
111,1.12,-0.6656082133166676,0.0001
112,1.1300000000000001,-0.6612981828765072,0.0001
113,1.1400000000000001,-0.6576137391383777,0.0001
114,1.1500000000000001,-0.6544866720967083,0.0001
115,1.1600000000000001,-0.651834604633604,0.0001
116,1.17,-0.6495652595470605,0.0001
117,1.18,-0.6475809864923395,0.0001
118,1.19,-0.6457833100003627,0.0001
119,1.2,-0.6440772656043458,0.0001
120,1.21,-0.6423753093012413,0.0001
121,1.22,-0.6406006148571621,0.0001
122,1.23,-0.6386896120094961,0.0001
123,1.24,-0.6365936641207639,0.0001
124,1.25,-0.6342798336577185,0.0001
125,1.26,-0.6317307351723221,0.0001
126,1.27,-0.6289435253896389,0.0001
127,1.28,-0.6259281258335964,0.0001
128,1.29,-0.6227048126991773,0.0001
129,1.3,-0.6193013393771438,0.0001
130,1.31,-0.615749777644121,0.0001
131,1.32,-0.6120832731331616,0.0001
132,1.33,-0.608332909022264,0.0001
133,1.34,-0.6045248592879794,0.0001
134,1.35,-0.6006779903457623,0.0001
135,1.36,-0.5968020389599168,0.0001
136,1.37,-0.5928964569230971,0.0001
137,1.3800000000000001,-0.5889499714747554,0.0001
138,1.3900000000000001,-0.5849408672355202,0.0001
139,1.4000000000000001,-0.5808379531092164,0.0001
140,1.4100000000000001,-0.5766021385715641,0.0001
141,1.42,-0.5721885102079981,0.0001
142,1.43,-0.5675487731015223,0.0001
143,1.44,-0.5626339040602848,0.0001
144,1.45,-0.5573968555338698,0.0001
145,1.46,-0.55179515064402,0.0001
146,1.47,-0.5457932207181655,0.0001
147,1.48,-0.5393643561827852,0.0001
148,1.49,-0.5324921682808326,0.0001
149,1.5,-0.5251714910578844,0.0001
150,1.51,-0.5174086883635417,0.0001
151,1.52,-0.5092213670271875,0.0001
152,1.53,-0.5006375326556739,0.0001
153,1.54,-0.49169425654109905,0.0001
154,1.55,-0.48243594907330517,0.0001
155,1.56,-0.4729123552864223,0.0001
156,1.57,-0.46317640063130044,0.0001
157,1.58,-0.4532820191543404,0.0001
158,1.59,-0.4432820919056065,0.0001
159,1.6,-0.43322661105023874,0.0001
160,1.61,-0.4231611657656069,0.0001
161,1.62,-0.41312582095062383,0.0001
162,1.6300000000000001,-0.40315443077148916,0.0001
163,1.6400000000000001,-0.3932743980683192,0.0001
164,1.6500000000000001,-0.38350685970478215,0.0001
165,1.6600000000000001,-0.3738672490903535,0.0001
166,1.6700000000000002,-0.36436616222415125,0.0001
167,1.68,-0.35501043431434226,0.0001
168,1.69,-0.3458043215623694,0.0001
169,1.7,-0.3367506778640691,0.0001
170,1.71,-0.3278520192697996,0.0001
171,1.72,-0.31911137984580784,0.0001
172,1.73,-0.3105328803676526,0.0001
173,1.74,-0.30212195487182575,0.0001
174,1.75,-0.2938852079246736,0.0001
175,1.76,-0.2858299056790743,0.0001
176,1.77,-0.27796313434570796,0.0001
177,1.78,-0.2702906885270332,0.0001
178,1.79,-0.2628157769527958,0.0001
179,1.8,-0.2555376527324889,0.0001
180,1.81,-0.2484502878462764,0.0001
181,1.82,-0.24154121619864322,0.0001
182,1.83,-0.23479066562026368,0.0001
183,1.84,-0.22817108672137804,0.0001
184,1.85,-0.22164716601782813,0.0001
185,1.86,-0.21517638333347255,0.0001
186,1.87,-0.20871014065936505,0.0001
187,1.8800000000000001,-0.20219545332929756,0.0001
188,1.8900000000000001,-0.19557715673066584,0.0001
189,1.9000000000000001,-0.18880054512771713,0.0001
190,1.9100000000000001,-0.18181432585218443,0.0001
191,1.9200000000000002,-0.17457374429659797,0.0001
192,1.93,-0.16704371473711394,0.0001
193,1.94,-0.1592017805299475,0.0001
194,1.95,-0.15104072568898166,0.0001
195,1.96,-0.14257066871685886,0.0001
196,1.97,-0.1338204886779219,0.0001
197,1.98,-0.1248384621097068,0.0001
198,1.99,-0.11569202613371145,0.0001
199,2.0,-0.10646662619781995,0.0001
200,2.01,-0.09726365399980032,0.0001
201,2.02,-0.08819752975019822,0.0001
202,2.03,-0.0793920303311305,0.0001
203,2.04,-0.0709760083962027,0.0001
204,2.05,-0.0630786844966581,0.0001
205,2.0599999999999996,-0.055824722678318194,0.0001
206,2.07,-0.04932931788257976,0.0001
207,2.0799999999999996,-0.04369352966333367,0.0001
208,2.09,-0.039000090592021495,0.0001
209,2.0999999999999996,-0.0353098993332574,0.0001
210,2.11,-0.03265937848501505,0.0001
211,2.1199999999999997,-0.031058837293841995,0.0001
212,2.13,-0.030491931263187454,0.0001
213,2.1399999999999997,-0.030916256937968768,0.0001
214,2.15,-0.03226506358568631,0.0001
215,2.1599999999999997,-0.034450007114235584,0.0001
216,2.17,-0.03736481840987512,0.0001
217,2.1799999999999997,-0.04088971124756577,0.0001
218,2.19,-0.04489631662017191,0.0001
219,2.1999999999999997,-0.04925290290309467,0.0001
220,2.21,-0.05382962629329532,0.0001
221,2.2199999999999998,-0.05850355434592199,0.0001
222,2.23,-0.06316321736406394,0.0001
223,2.2399999999999998,-0.06771246732363806,0.0001
224,2.25,-0.07207346066696682,0.0001
225,2.26,-0.07618862775562216,0.0001
226,2.27,-0.08002154556730114,0.0001
227,2.28,-0.08355668846876356,0.0001
228,2.29,-0.08679809145451137,0.0001
229,2.3,-0.08976701788000223,0.0001
230,2.31,-0.0924987763020076,0.0001
231,2.32,-0.09503887569663383,0.0001
232,2.3299999999999996,-0.09743874261332078,0.0001
233,2.34,-0.09975124585997337,0.0001
234,2.3499999999999996,-0.10202628288924272,0.0001
235,2.36,-0.10430667669683986,0.0001
236,2.3699999999999997,-0.1066246130451663,0.0001
237,2.38,-0.10899881623819672,0.0001
238,2.3899999999999997,-0.11143261924192759,0.0001
239,2.4,-0.11391303301578874,0.0001
240,2.4099999999999997,-0.11641086331325888,0.0001
241,2.42,-0.11888186405999736,0.0001
242,2.4299999999999997,-0.12126885800292542,0.0001
243,2.44,-0.12350470088203452,0.0001
244,2.4499999999999997,-0.12551591792646472,0.0001
245,2.46,-0.12722680364763214,0.0001
246,2.4699999999999998,-0.12856374979009474,0.0001
247,2.48,-0.1294595533487349,0.0001
248,2.4899999999999998,-0.129857457479549,0.0001
249,2.5,-0.12971469285947393,0.0001
250,2.51,-0.12900531475805757,0.0001
251,2.52,-0.12772217021786217,0.0001
252,2.53,-0.1258778781132659,0.0001
253,2.54,-0.1235047597677045,0.0001
254,2.55,-0.12065371619432104,0.0001
255,2.56,-0.11739210663072924,0.0001
256,2.57,-0.1138007386026012,0.0001
257,2.5799999999999996,-0.10997012918390234,0.0001
258,2.59,-0.10599623768039602,0.0001
259,2.5999999999999996,-0.10197589940254162,0.0001
260,2.61,-0.09800220689226105,0.0001
261,2.6199999999999997,-0.0941600880160115,0.0001
262,2.63,-0.09052231958696094,0.0001
263,2.6399999999999997,-0.08714619125336352,0.0001
264,2.65,-0.08407099864214446,0.0001
265,2.6599999999999997,-0.08131649918478431,0.0001
266,2.67,-0.07888241122608566,0.0001
267,2.6799999999999997,-0.07674897987150912,0.0001
268,2.69,-0.07487857474251922,0.0001
269,2.6999999999999997,-0.07321822861164676,0.0001
270,2.71,-0.07170297488150087,0.0001
271,2.7199999999999998,-0.07025979885578497,0.0001
272,2.73,-0.06881198507026648,0.0001
273,2.7399999999999998,-0.06728362236716356,0.0001
274,2.75,-0.06560402098610917,0.0001
275,2.76,-0.0637118020492617,0.0001
276,2.77,-0.061558439024499326,0.0001
277,2.78,-0.059111061920014384,0.0001
278,2.79,-0.05635437629870368,0.0001
279,2.8,-0.05329159835039685,0.0001
280,2.81,-0.049944361454232616,0.0001
281,2.82,-0.04635160587161968,0.0001
282,2.8299999999999996,-0.042567518312151956,0.0001
283,2.84,-0.038658639076883695,0.0001
284,2.8499999999999996,-0.034700298527670516,0.0001
285,2.86,-0.03077257938980067,0.0001
286,2.8699999999999997,-0.0269560250394077,0.0001
287,2.88,-0.023327325266341303,0.0001
288,2.8899999999999997,-0.019955209545772384,0.0001
289,2.9,-0.016896763826644828,0.0001
290,2.9099999999999997,-0.014194361181971338,0.0001
291,2.92,-0.0118733609360539,0.0001
292,2.9299999999999997,-0.00994068720461551,0.0001
293,2.94,-0.00838434869383108,0.0001
294,2.9499999999999997,-0.0071739099143022,0.0001
295,2.96,-0.006261872597036695,0.0001
296,2.9699999999999998,-0.005585877914320092,0.0001
297,2.98,-0.00507159775335289,0.0001
298,2.9899999999999998,-0.004636149041397777,0.0001
299,3.0,-0.004191840761493792,0.0001
300,3.01,-0.003650050021916272,0.0001
301,3.02,-0.0029250218946678965,0.0001
302,3.03,-0.0019373975893924287,0.0001
303,3.04,-0.000617296093316055,0.0001
304,3.05,0.001093195703648775,0.0001
305,3.06,0.0032382320698611886,0.0001
306,3.07,0.005847181919713701,0.0001
307,3.08,0.008934386975686676,0.0001
308,3.09,0.01249967995930523,0.0001
309,3.0999999999999996,0.01652959598402423,0.0001
310,3.11,0.02099917325901541,0.0001
311,3.1199999999999997,0.025874209329022516,0.0001
312,3.13,0.03111381797400009,0.0001
313,3.1399999999999997,0.03667312062590703,0.0001
314,3.15,0.04250590517712096,0.0001
315,3.1599999999999997,0.04856709418032991,0.0001
316,3.17,0.05481488289362141,0.0001
317,3.1799999999999997,0.06121243407636945,0.0001
318,3.19,0.0677290490974613,0.0001
319,3.1999999999999997,0.07434077163341034,0.0001
320,3.21,0.08103041865016394,0.0001
321,3.2199999999999998,0.08778707104873786,0.0001
322,3.23,0.09460509095986315,0.0001
323,3.2399999999999998,0.10148276206693685,0.0001
324,3.25,0.10842067174066931,0.0001
325,3.26,0.11541996786083898,0.0001
326,3.27,0.12248062819388214,0.0001
327,3.28,0.12959987588341057,0.0001
328,3.29,0.13677086137807135,0.0001
329,3.3,0.14398170991459996,0.0001
330,3.31,0.15121500594303774,0.0001
331,3.32,0.15844775348577866,0.0001
332,3.33,0.16565181651585803,0.0001
333,3.34,0.172794808334546,0.0001
334,3.3499999999999996,0.17984136594948452,0.0001
335,3.36,0.18675471679556133,0.0001
336,3.3699999999999997,0.19349842272454126,0.0001
337,3.38,0.20003817154704287,0.0001
338,3.3899999999999997,0.20634348058244342,0.0001
339,3.4,0.2123891801407921,0.0001
340,3.4099999999999997,0.2181565575148536,0.0001
341,3.42,0.22363406319819706,0.0001
342,3.4299999999999997,0.22881750941219633,0.0001
343,3.44,0.2337097248865504,0.0001
344,3.4499999999999997,0.23831966708272456,0.0001
345,3.46,0.24266103131573347,0.0001
346,3.4699999999999998,0.24675043304823008,0.0001
347,3.48,0.2506052725783745,0.0001
348,3.4899999999999998,0.2542414181914471,0.0001
349,3.5,0.25767086270319217,0.0001
350,3.51,0.2608995177573702,0.0001
351,3.52,0.26392530937247055,0.0001
352,3.53,0.26673672680266325,0.0001
353,3.54,0.26931195517132545,0.0001
354,3.55,0.27161869157201834,0.0001
355,3.56,0.2736147060173806,0.0001
356,3.57,0.2752491648573251,0.0001
357,3.58,0.27646468757488885,0.0001
358,3.59,0.277200060935216,0.0001
359,3.5999999999999996,0.2773934901302998,0.0001
360,3.61,0.27698622756949653,0.0001
361,3.6199999999999997,0.2759263888103794,0.0001
362,3.63,0.2741727439079483,0.0001
363,3.6399999999999997,0.27169826275738235,0.0001
364,3.65,0.26849319576133546,0.0001
365,3.6599999999999997,0.26456748661389734,0.0001
366,3.67,0.259952341679151,0.0001
367,3.6799999999999997,0.25470081915733517,0.0001
368,3.69,0.24888734911939936,0.0001
369,3.6999999999999997,0.2426061501262295,0.0001
370,3.71,0.2359685666650002,0.0001
371,3.7199999999999998,0.22909941087697508,0.0001
372,3.73,0.2221324487480992,0.0001
373,3.7399999999999998,0.21520522188205035,0.0001
374,3.75,0.20845343821865342,0.0001
375,3.76,0.2020051960599065,0.0001
376,3.77,0.1959753235488632,0.0001
377,3.78,0.19046011902682763,0.0001
378,3.79,0.18553276595400245,0.0001
379,3.8,0.18123966961030497,0.0001
380,3.81,0.17759792269568,0.0001
381,3.82,0.17459405508112094,0.0001
382,3.83,0.17218416184937818,0.0001
383,3.84,0.17029543647484555,0.0001
384,3.8499999999999996,0.16882906597264377,0.0001
385,3.86,0.16766437574308754,0.0001
386,3.8699999999999997,0.16666404729823517,0.0001
387,3.88,0.16568017553670358,0.0001
388,3.8899999999999997,0.16456088680325126,0.0001
389,3.9,0.16315720715032886,0.0001
390,3.9099999999999997,0.16132985383611703,0.0001
391,3.92,0.1589556231757773,0.0001
392,3.9299999999999997,0.15593306457793873,0.0001
393,3.94,0.15218716323872544,0.0001
394,3.9499999999999997,0.1476728009777205,0.0001
395,3.96,0.14237682376262636,0.0001
396,3.9699999999999998,0.1363186126110082,0.0001
397,3.98,0.12954912831200993,0.0001
398,3.9899999999999998,0.12214847599841432,0.0001
399,4.0,0.11422210912551703,0.0001
400,4.01,0.10589586007557668,0.0001
401,4.02,0.0973100428963209,0.0001
402,4.03,0.08861291957102835,0.0001
403,4.04,0.07995385231993984,0.0001
404,4.05,0.07147647913166909,0.0001
405,4.06,0.06331224725856234,0.0001
406,4.07,0.05557461991817786,0.0001
407,4.08,0.04835423595115505,0.0001
408,4.09,0.041715252556168154,0.0001
409,4.1,0.03569304005480591,0.0001
410,4.109999999999999,0.03029332813093876,0.0001
411,4.12,0.025492828767177136,0.0001
412,4.13,0.021241286028357644,0.0001
413,4.14,0.017464830813337263,0.0001
414,4.1499999999999995,0.014070453432396941,0.0001
415,4.16,0.010951351718849254,0.0001
416,4.17,0.00799287015511925,0.0001
417,4.18,0.0050787182991606636,0.0001
418,4.1899999999999995,0.002097145950219461,0.0001
419,4.2,-0.0010532415582026027,0.0001
420,4.21,-0.0044583222420591815,0.0001
421,4.22,-0.008184207456059099,0.0001
422,4.2299999999999995,-0.012274109551273105,0.0001
423,4.24,-0.01674647314997734,0.0001
424,4.25,-0.021594448387144274,0.0001
425,4.26,-0.02678671348686722,0.0001
426,4.27,-0.0322695834319936,0.0001
427,4.28,-0.03797027494810921,0.0001
428,4.29,-0.04380113901356015,0.0001
429,4.3,-0.0496646236524684,0.0001
430,4.31,-0.05545869430990498,0.0001
431,4.32,-0.06108241838076756,0.0001
432,4.33,-0.06644141540492424,0.0001
433,4.34,-0.0714528851522525,0.0001
434,4.35,-0.07604995156910264,0.0001
435,4.36,-0.08018509982175141,0.0001
436,4.37,-0.08383253423277784,0.0001
437,4.38,-0.0869893439692749,0.0001
438,4.39,-0.0896754276938902,0.0001
439,4.3999999999999995,-0.0919321945729051,0.0001
440,4.41,-0.09382012353370028,0.0001
441,4.42,-0.0954153220901077,0.0001
442,4.43,-0.09680527732924059,0.0001
443,4.4399999999999995,-0.0980840321662035,0.0001
444,4.45,-0.09934704771367922,0.0001
445,4.46,-0.10068602627264656,0.0001
446,4.47,-0.10218396848133372,0.0001
447,4.4799999999999995,-0.10391072279641092,0.0001
448,4.49,-0.10591925671726943,0.0001
449,4.5,-0.10824283869156573,0.0001
450,4.51,-0.11089326974643644,0.0001
451,4.52,-0.11386024733145782,0.0001
452,4.53,-0.11711188370837626,0.0001
453,4.54,-0.12059634069830696,0.0001
454,4.55,-0.12424448489328115,0.0001
455,4.56,-0.12797341555430453,0.0001
456,4.57,-0.131690673999303,0.0001
457,4.58,-0.13529891049079587,0.0001
458,4.59,-0.1387007640291839,0.0001
459,4.6,-0.1418037029382354,0.0001
460,4.61,-0.14452457988325992,0.0001
461,4.62,-0.146793673472582,0.0001
462,4.63,-0.14855801867557106,0.0001
463,4.64,-0.14978386816890502,0.0001
464,4.6499999999999995,-0.15045817413164628,0.0001
465,4.66,-0.1505890323238548,0.0001
466,4.67,-0.15020508466374408,0.0001
467,4.68,-0.149353930066694,0.0001
468,4.6899999999999995,-0.148099643224194,0.0001
