,Q,F,dF
0,-0.007781,-0.007126,1e-7
1,0.115,0.00555,1e-7
2,0.2643,-0.000788,1e-7
3,0.4303,0.03344,1e-7
4,0.6128,0.0309,1e-7
5,0.7124,0.04358,1e-7
6,0.9115,0.04231,0.0001
7,1.044,0.0309,0.0001
8,1.111,-0.03248,0.0001
9,1.177,-0.02614,0.0001
10,1.21,0.04358,0.0001
11,1.243,0.1196,0.0001
12,1.277,0.2337,0.0001
13,1.343,0.4302,0.0001
14,1.409,0.5126,0.0001
15,1.442,0.4872,0.0001
16,1.476,0.4302,0.0001
17,1.509,0.3478,0.0001
18,1.542,0.2654,0.0001
19,1.575,0.1767,0.0001
20,1.608,0.107,0.0001
21,1.642,0.06259,0.0001
22,1.691,0.02456,0.0001
23,1.874,0.01569,0.0001
24,2.007,-0.007126,0.0001
25,2.123,0.001747,0.0001
26,2.305,0.0309,0.0001
27,2.471,0.06132,0.0001
28,2.571,0.04358,0.0001
29,2.627,0.00555,0.0001
30,2.737,0.00555,0.0001
31,2.77,0.03724,0.0001
32,2.803,0.0816,0.0001
33,2.836,0.1196,0.0001
34,2.869,0.145,0.0001
35,3.002,0.07526,0.0001
36,3.035,0.0309,0.0001
37,3.069,0.00555,0.0001
38,3.152,-0.01727,0.0001
39,3.268,0.00555,0.0001
40,3.334,-0.007126,0.0001
41,3.483,-0.000788,0.0001
42,3.616,0.01823,0.0001
43,3.782,0.01823,0.0001
44,3.865,0.0309,0.0001
45,3.948,0.01823,0.0001
46,4.048,0.00555,0.0001
47,4.213,-0.007126,0.0001
48,4.296,-0.0198,0.0001
49,4.612,-0.03248,0.0001
50,4.761,-0.0198,0.0001
51,4.894,-0.007126,0.0001
52,5.01,0.00555,0.0001
53,5.126,0.01823,0.0001
54,5.275,0.0309,0.0001
55,5.524,0.04358,0.0001
56,5.723,0.04358,0.0001
57,5.856,0.05625,0.0001
58,5.923,0.06893,0.0001
59,6.105,0.09428,0.0001
60,6.454,0.09047,0.0001
61,6.57,0.06893,0.0001
62,6.719,0.05625,0.0001
63,6.902,0.04358,0.0001
64,6.985,0.0309,0.0001
65,7.051,0.01823,0.0001
66,7.35,0.01823,0.0001
67,7.615,0.0309,0.0001
68,7.914,0.01823,0.0001
69,8.179,0.01823,0.0001
70,8.395,0.0309,0.0001
71,8.611,0.04358,0.0001
72,8.727,0.05625,0.0001
73,8.992,0.05625,0.0001
74,9.125,0.04358,0.0001
75,9.407,0.0309,0.0001
76,9.656,0.0309,0.0001
77,9.789,0.01823,0.0001
78,9.888,0.00555,0.0001
79,10.0,-0.007126,0.0001
80,10.12,-0.0198,0.0001
81,10.35,-0.0198,0.0001
82,10.49,-0.000788,0.0001
83,10.68,0.03724,0.0001
84,10.85,0.06893,0.0001
85,11.43,0.06893,0.0001
86,11.6,0.05625,0.0001
87,11.68,0.04358,0.0001
88,11.78,0.0309,0.0001
89,11.88,0.01823,0.0001
90,12.03,0.00555,0.0001
91,12.31,0.01823,0.0001
92,12.44,0.0309,0.0001
93,12.71,0.04358,0.0001
94,13.19,0.0309,0.0001
95,13.47,0.0309,0.0001
96,13.72,0.01823,0.0001
97,14.02,0.01823,0.0001
98,14.19,0.0309,0.0001
99,14.37,0.04358,0.0001
100,14.62,0.05625,0.0001
101,14.88,0.06893,0.0001
102,15.1,0.05625,0.0001
103,15.25,0.04358,0.0001
104,15.48,0.0309,0.0001
105,15.71,0.01823,0.0001
106,15.88,0.00555,0.0001
107,16.18,-0.007126,0.0001
108,16.46,0.00555,0.0001
109,16.63,0.01823,0.0001
110,16.77,0.0309,0.0001
111,16.92,0.04358,0.0001
112,17.14,0.05625,0.0001
113,17.32,0.06893,0.0001
114,17.62,0.05625,0.0001
115,17.77,0.04358,0.0001
116,18.2,0.04358,0.0001
117,18.47,0.0309,0.0001
118,18.96,0.01823,0.0001
119,19.31,0.01823,0.0001
120,19.53,0.0309,0.0001
121,19.71,0.04358,0.0001
