,Q,F,dF
0,1.01,3.5962480000977513,1e-7
1,1.02,2.1442383701913657,1e-7
2,1.03,0.6746852006296241,1e-7
3,1.04,-0.7557246070309905,1e-7
4,1.05,-2.093997564253462,0.0001
5,1.06,-3.292660092470877,0.0001
6,1.07,-4.311313787688189,0.0001
7,1.08,-5.1178726688653615,0.0001
8,1.09,-5.6894487585048905,0.0001
9,1.1,-6.012866236830965,0.0001
10,1.11,-6.084798545252682,0.0001
11,1.12,-5.911536678722718,0.0001
12,1.1300000000000001,-5.50841001380761,0.0001
13,1.1400000000000001,-4.8988929252587,0.0001
14,1.1500000000000001,-4.113440760385687,0.0001
15,1.1600000000000001,-3.18810714775306,0.0001
16,1.1700000000000002,-2.163000872537071,0.0001
17,1.1800000000000002,-1.0806444972835507,0.0001
18,1.1900000000000002,0.01570152694275614,0.0001
19,1.2000000000000002,1.0836863113558952,0.0001
20,1.2100000000000002,2.0834276546383763,0.0001
21,1.2200000000000002,2.97892809879406,0.0001
22,1.2300000000000002,3.7393001507706503,0.0001
23,1.2400000000000002,4.339761411279767,0.0001
24,1.2500000000000002,4.762370032370188,0.0001
25,1.2600000000000002,4.996481393362491,0.0001
26,1.2700000000000002,5.038917737383666,0.0001
27,1.2800000000000002,4.893853342118229,0.0001
28,1.2900000000000003,4.572428214859267,0.0001
29,1.3000000000000003,4.0921129358730495,0.0001
30,1.3100000000000003,3.4758557964350385,0.0001
31,1.3200000000000003,2.7510505090288015,0.0001
32,1.3300000000000003,1.9483682857073792,0.0001
33,1.3400000000000003,1.1005018297546547,0.0001
34,1.3500000000000003,0.24087067745956062,0.0001
35,1.3600000000000003,-0.5976626570339874,0.0001
36,1.3700000000000003,-1.3840180893987677,0.0001
37,1.3800000000000003,-2.0900207981365533,0.0001
38,1.3900000000000003,-2.691382406235872,0.0001
39,1.4000000000000004,-3.1685077916925617,0.0001
40,1.4100000000000004,-3.507102201732692,0.0001
41,1.4200000000000004,-3.6985614781674383,0.0001
42,1.4300000000000004,-3.7401367528094265,0.0001
43,1.4400000000000004,-3.6348736160429964,0.0001
44,1.4500000000000004,-3.3913341771276864,0.0001
45,1.4600000000000004,-3.023118316813253,0.0001
46,1.4700000000000004,-2.54820750382196,0.0001
47,1.4800000000000004,-1.9881605659371084,0.0001
48,1.4900000000000004,-1.3671955777545182,0.0001
49,1.5000000000000004,-0.7111954053279393,0.0001
50,1.5100000000000005,-0.04667634261117002,0.0001
51,1.5200000000000005,0.600240347679563,0.0001
52,1.5300000000000005,1.2048152920392736,0.0001
53,1.5400000000000005,1.744600097779412,0.0001
54,1.5500000000000005,2.2002363318689224,0.0001
55,1.5600000000000005,2.556116973761064,0.0001
56,1.5700000000000005,2.80088876636554,0.0001
57,1.5800000000000005,2.9277803923833927,0.0001
58,1.5900000000000005,2.9347483142245667,0.0001
59,1.6000000000000005,2.8244391678250027,0.0001
60,1.6100000000000005,2.603974527936261,0.0001
61,1.6200000000000006,2.284570409656276,0.0001
62,1.6300000000000006,1.8810098027928122,0.0001
63,1.6400000000000006,1.4109916449576532,0.0001
64,1.6500000000000006,0.8943837541403081,0.0001
65,1.6600000000000006,0.3524102307626541,0.0001
66,1.6700000000000006,-0.19319438351213686,0.0001
67,1.6800000000000006,-0.721031377048062,0.0001
68,1.6900000000000006,-1.210852473861503,0.0001
69,1.7000000000000006,-1.6443125845257527,0.0001
70,1.7100000000000006,-2.005633511851747,0.0001
71,1.7200000000000006,-2.2821553754916586,0.0001
72,1.7300000000000006,-2.464757261753714,0.0001
73,1.7400000000000007,-2.5481339401822387,0.0001
74,1.7500000000000007,-2.5309212044693816,0.0001
75,1.7600000000000007,-2.4156682698909506,0.0001
76,1.7700000000000007,-2.2086614692885154,0.0001
77,1.7800000000000007,-1.9196090182939611,0.0001
78,1.7900000000000007,-1.5612016666163828,0.0001
79,1.8000000000000007,-1.1485684365454474,0.0001
80,1.8100000000000007,-0.6986502215196737,0.0001
81,1.8200000000000007,-0.22951665924023756,0.0001
82,1.8300000000000007,0.24034667489166958,0.0001
83,1.8400000000000007,0.692753128157577,0.0001
84,1.8500000000000008,1.1105047307459666,0.0001
85,1.8600000000000008,1.4780311870377152,0.0001
86,1.8700000000000008,1.7819548518862005,0.0001
87,1.8800000000000008,2.011561696640004,0.0001
88,1.8900000000000008,2.1591622102818295,0.0001
89,1.9000000000000008,2.2203306500485755,0.0001
90,1.9100000000000008,2.194015875133355,0.0001
91,1.9200000000000008,2.082521978723418,0.0001
92,1.9300000000000008,1.8913618873713363,0.0001
93,1.9400000000000008,1.6289918368666418,0.0001
94,1.9500000000000008,1.3064389862271266,0.0001
95,1.9600000000000009,0.9368382398299187,0.0001
96,1.9700000000000009,0.5348974790582801,0.0001
97,1.9800000000000009,0.11631275402624472,0.0001
98,1.9900000000000009,-0.30284352086167343,0.0001
99,2.000000000000001,-0.7067377268964361,0.0001
100,2.0100000000000007,-1.0803702214026147,0.0001
101,2.020000000000001,-1.4101283829239735,0.0001
102,2.030000000000001,-1.6842773593681002,0.0001
103,2.040000000000001,-1.8933710749525385,0.0001
104,2.0500000000000007,-2.0305693782605263,0.0001
105,2.060000000000001,-2.0918510127355976,0.0001
106,2.070000000000001,-2.076116211030381,0.0001
107,2.080000000000001,-1.9851769949178544,0.0001
108,2.0900000000000007,-1.8236375389504818,0.0001
109,2.100000000000001,-1.598671067735777,0.0001
110,2.110000000000001,-1.3197035516344315,0.0001
111,2.120000000000001,-0.9980178065025082,0.0001
112,2.130000000000001,-0.6462943718953412,0.0001
113,2.140000000000001,-0.2781076445882039,0.0001
114,2.1500000000000012,0.09260288728171971,0.0001
115,2.160000000000001,0.45206586854217384,0.0001
116,2.170000000000001,0.7871955052159785,0.0001
117,2.180000000000001,1.086073889902642,0.0001
118,2.1900000000000013,1.3383805780606433,0.0001
119,2.200000000000001,1.5357540673411596,0.0001
120,2.210000000000001,1.6720726708947198,0.0001
121,2.220000000000001,1.7436455384849272,0.0001
122,2.2300000000000013,1.7493081360512739,0.0001
123,2.240000000000001,1.690420205939571,0.0001
124,2.250000000000001,1.5707679537326884,0.0001
125,2.260000000000001,1.3963758027594204,0.0001
126,2.2700000000000014,1.175236390406401,0.0001
127,2.280000000000001,0.9169704298746267,0.0001
128,2.290000000000001,0.632430522031688,0.0001
129,2.300000000000001,0.3332648896831135,0.0001
130,2.3100000000000014,0.03145825909926526,0.0001
131,2.320000000000001,-0.2611323058727534,0.0001
132,2.330000000000001,-0.5332289142231269,0.0001
133,2.340000000000001,-0.7745547701817735,0.0001
134,2.3500000000000014,-0.9762109733586226,0.0001
135,2.360000000000001,-1.1309946255706647,0.0001
136,2.370000000000001,-1.2336471180927924,0.0001
137,2.3800000000000012,-1.2810242992888126,0.0001
138,2.3900000000000015,-1.2721833172730659,0.0001
139,2.4000000000000012,-1.2083841741429024,0.0001
140,2.410000000000001,-1.093007292498911,0.0001
141,2.4200000000000013,-0.9313915576711518,0.0001
142,2.4300000000000015,-0.7306002423270362,0.0001
143,2.4400000000000013,-0.4991248361385855,0.0001
144,2.450000000000001,-0.2465389981838087,0.0001
145,2.4600000000000013,0.01688345261509889,0.0001
146,2.4700000000000015,0.28057144982446597,0.0001
147,2.4800000000000013,0.5340648798182027,0.0001
148,2.490000000000001,0.767412499777697,0.0001
149,2.5000000000000013,0.9715446365268803,0.0001
150,2.5100000000000016,1.1386069185989425,0.0001
151,2.5200000000000014,1.2622429852584183,0.0001
152,2.530000000000001,1.3378162377517784,0.0001
153,2.5400000000000014,1.3625631628032544,0.0001
154,2.5500000000000016,1.3356734676388804,0.0001
155,2.5600000000000014,1.25829511320129,0.0001
156,2.570000000000001,1.1334652077094556,0.0001
157,2.5800000000000014,0.9659705169417457,0.0001
158,2.5900000000000016,0.7621439559523681,0.0001
159,2.6000000000000014,0.5296057533784031,0.0001
160,2.610000000000001,0.27695994022024767,0.0001
161,2.6200000000000014,0.013458341267895987,0.0001
162,2.6300000000000017,-0.2513547119948457,0.0001
163,2.6400000000000015,-0.5080032051579019,0.0001
164,2.6500000000000012,-0.7474320659900665,0.0001
165,2.6600000000000015,-0.9613383832310552,0.0001
166,2.6700000000000017,-1.142469032248544,0.0001
167,2.6800000000000015,-1.2848739884035647,0.0001
168,2.6900000000000013,-1.3841064608892335,0.0001
169,2.7000000000000015,-1.437363139754316,0.0001
170,2.7100000000000017,-1.4435602300044246,0.0001
171,2.7200000000000015,-1.403343455187172,0.0001
172,2.7300000000000013,-1.3190327513733968,0.0001
173,2.7400000000000015,-1.1945048439090864,0.0001
174,2.7500000000000018,-1.0350192106828449,0.0001
175,2.7600000000000016,-0.8469950013552225,0.0001
176,2.7700000000000014,-0.6377482270555153,0.0001
177,2.7800000000000016,-0.41519989781154704,0.0001
178,2.790000000000002,-0.18756671923982687,0.0001
179,2.8000000000000016,0.0369535634098779,0.0001
180,2.8100000000000014,0.2504900782213814,0.0001
181,2.8200000000000016,0.4457883557264862,0.0001
182,2.830000000000002,0.6164707261379838,0.0001
183,2.8400000000000016,0.7572581269579278,0.0001
184,2.8500000000000014,0.8641454957614525,0.0001
185,2.8600000000000017,0.9345248302830302,0.0001
186,2.870000000000002,0.9672521030358775,0.0001
187,2.8800000000000017,0.96265643710546,0.0001
188,2.8900000000000015,0.9224921968119292,0.0001
189,2.9000000000000017,0.8498368351337735,0.0001
190,2.910000000000002,0.7489393860813482,0.0001
191,2.9200000000000017,0.6250263181472402,0.0001
192,2.9300000000000015,0.4840730074938209,0.0001
193,2.9400000000000017,0.3325502914708141,0.0001
194,2.950000000000002,0.1771563829883291,0.0001
195,2.9600000000000017,0.024544838002920632,0.0001
196,2.9700000000000015,-0.11894073829974611,0.0001
197,2.9800000000000018,-0.24751498014688225,0.0001
198,2.990000000000002,-0.3561725879977095,0.0001
199,3.0000000000000018,-0.4408754010366167,0.0001
200,3.0100000000000016,-0.4986978917710369,0.0001
201,3.0200000000000014,-0.5279259723077593,0.0001
202,3.030000000000002,-0.5281058900614145,0.0001
203,3.040000000000002,-0.5000419788600786,0.0001
204,3.0500000000000016,-0.44574404175752264,0.0001
