,r,T
0,-0.007781,0.003345637030807646
1,0.115,-0.0488247908631426
2,0.2643,-0.11292727582606937
3,0.4303,-0.17756598045525732
4,0.6128,-0.2535402705629193
5,0.7124,-0.290892255622598
6,0.9115,-0.3726844091325164
7,1.044,-0.43194523901385073
8,1.111,-0.48972841792110894
9,1.177,-0.5156353452526843
10,1.21,-0.4940758412455693
11,1.243,-0.4672085284088174
12,1.277,-0.41778161276362275
13,1.343,-0.32670671194537027
14,1.409,-0.2931947012088767
15,1.442,-0.315698760050116
16,1.476,-0.3590611368811367
17,1.509,-0.4201744434552714
18,1.542,-0.4836095817837305
19,1.575,-0.5536027933313354
20,1.608,-0.613051702087319
21,1.642,-0.657146704272682
22,1.691,-0.7042125615708802
23,1.874,-0.7875190771590398
24,2.007,-0.8629602262987979
25,2.123,-0.9047950530950294
26,2.305,-0.9536721991637221
27,2.471,-0.9902615335337359
28,2.571,-1.0498090808614535
29,2.627,-1.115328048673701
30,2.737,-1.162030022542794
31,2.77,-1.1385638918115166
32,2.803,-1.0990427154549016
33,2.836,-1.0659721533124746
34,2.869,-1.0472642108339063
35,3.002,-1.1851953278307916
36,3.035,-1.2557028739531007
37,3.069,-1.3029850709476927
38,3.152,-1.3689325342105405
39,3.268,-1.3874731873108697
40,3.334,-1.4335373166318843
41,3.483,-1.4881789697396886
42,3.616,-1.5156460020186677
43,3.782,-1.585224883748507
44,3.865,-1.5991076137821199
45,3.948,-1.6548037654783463
46,4.048,-1.7186326383826196
47,4.213,-1.8114855173875613
48,4.296,-1.8704188884719957
49,4.612,-2.03296801390833
50,4.761,-2.072873446930906
51,4.894,-2.1042986285532224
52,5.01,-2.1270626280377773
53,5.126,-2.148562335826242
54,5.275,-2.1824819308410564
55,5.524,-2.255599129785558
56,5.723,-2.3368562309490852
57,5.856,-2.3594872340117554
58,5.923,-2.354418520400818
59,6.105,-2.3606914408825723
60,6.454,-2.506141503307259
61,6.57,-2.6116038627441123
62,6.719,-2.707205383422983
63,6.902,-2.8182739308073717
64,6.985,-2.889978443018915
65,7.051,-2.9554258739584145
66,7.35,-3.0807516910501125
67,7.615,-3.150635052768653
68,7.914,-3.3171522289755906
69,8.179,-3.4282269498093707
70,8.395,-3.473352760077851
71,8.611,-3.5161050156740483
72,8.727,-3.5162645306046096
73,8.992,-3.6230377746300735
74,9.125,-3.725985166418033
75,9.407,-3.892058298279017
76,9.656,-3.995079720227723
77,9.789,-4.103058272610824
78,9.888,-4.198082887432644
79,10.0,-4.299751999495754
80,10.12,-4.4061078099014415
81,10.35,-4.506246623762839
82,10.49,-4.482054950493636
83,10.68,-4.389842008861732
84,10.85,-4.312922665262346
85,11.43,-4.543475213267153
86,11.6,-4.673847663001428
87,11.68,-4.7692610130150825
88,11.78,-4.873864861669695
89,11.88,-4.979500692472836
90,12.03,-5.107497687683526
91,12.31,-5.159735145146516
92,12.44,-5.146933690931324
93,12.71,-5.1898379687861045
94,13.19,-5.4572391787286305
95,13.47,-5.573086560839626
96,13.72,-5.750736489960211
97,14.02,-5.876481456941847
98,14.19,-5.87097982912504
99,14.37,-5.867661023718042
100,14.62,-5.890659726989732
101,14.88,-5.914865369502646
102,15.1,-6.084060319941515
103,15.25,-6.2269889082602745
104,15.48,-6.404705268136407
105,15.71,-6.584844770938404
106,15.88,-6.7420667731017785
107,16.18,-6.95699873518413
108,16.46,-6.988313544411541
109,16.63,-6.9704626696820915
110,16.77,-6.9384307071477735
111,16.92,-6.908895234607466
112,17.14,-6.906012839986594
113,17.32,-6.884776088695284
114,17.62,-7.099413432938378
115,17.77,-7.25597330490394
116,18.2,-7.431553975759803
117,18.47,-7.641789812821669
118,18.96,-7.947081913239475
119,19.31,-8.09378437471805
120,19.53,-8.080354902241863
121,19.71,-8.048127959462953
