,Q,F,dF
0,-7.781e-3,-7.126e-3,1e-7
1,1.15e-1,5.55e-3,1e-7
2,2.643e-1,-7.88e-4,1e-7
3,4.303e-1,3.344e-2,1e-7
4,6.128e-1,3.09e-2,0.0001
5,7.124e-1,4.358e-2,0.0001
6,9.115e-1,4.231e-2,0.0001
7,1.044e+0,3.09e-2,0.0001
8,1.111e+0,-3.248e-2,0.0001
9,1.177e+0,-2.614e-2,0.0001
10,1.21e+0,4.358e-2,0.0001
11,1.243e+0,1.196e-1,0.0001
12,1.277e+0,2.337e-1,0.0001
13,1.343e+0,4.302e-1,0.0001
14,1.409e+0,5.126e-1,0.0001
15,1.442e+0,4.872e-1,0.0001
16,1.476e+0,4.302e-1,0.0001
17,1.509e+0,3.478e-1,0.0001
18,1.542e+0,2.654e-1,0.0001
19,1.575e+0,1.767e-1,0.0001
20,1.608e+0,1.07e-1,0.0001
21,1.642e+0,6.259e-2,0.0001
22,1.691e+0,2.456e-2,0.0001
23,1.874e+0,1.569e-2,0.0001
24,2.007e+0,-7.126e-3,0.0001
25,2.123e+0,1.747e-3,0.0001
26,2.305e+0,3.09e-2,0.0001
27,2.471e+0,6.132e-2,0.0001
28,2.571e+0,4.358e-2,0.0001
29,2.627e+0,5.55e-3,0.0001
30,2.737e+0,5.55e-3,0.0001
31,2.77e+0,3.724e-2,0.0001
32,2.803e+0,8.16e-2,0.0001
33,2.836e+0,1.196e-1,0.0001
34,2.869e+0,1.45e-1,0.0001
35,3.002e+0,7.526e-2,0.0001
36,3.035e+0,3.09e-2,0.0001
37,3.069e+0,5.55e-3,0.0001
38,3.152e+0,-1.727e-2,0.0001
39,3.268e+0,5.55e-3,0.0001
40,3.334e+0,-7.126e-3,0.0001
41,3.483e+0,-7.88e-4,0.0001
42,3.616e+0,1.823e-2,0.0001
43,3.782e+0,1.823e-2,0.0001
44,3.865e+0,3.09e-2,0.0001
45,3.948e+0,1.823e-2,0.0001
46,4.048e+0,5.55e-3,0.0001
47,4.213e+0,-7.126e-3,0.0001
48,4.296e+0,-1.98e-2,0.0001
49,4.612e+0,-3.248e-2,0.0001
50,4.761e+0,-1.98e-2,0.0001
51,4.894e+0,-7.126e-3,0.0001
52,5.01e+0,5.55e-3,0.0001
53,5.126e+0,1.823e-2,0.0001
54,5.275e+0,3.09e-2,0.0001
55,5.524e+0,4.358e-2,0.0001
56,5.723e+0,4.358e-2,0.0001
57,5.856e+0,5.625e-2,0.0001
58,5.923e+0,6.893e-2,0.0001
59,6.105e+0,9.428e-2,0.0001
60,6.454e+0,9.047e-2,0.0001
61,6.57e+0,6.893e-2,0.0001
62,6.719e+0,5.625e-2,0.0001
63,6.902e+0,4.358e-2,0.0001
64,6.985e+0,3.09e-2,0.0001
65,7.051e+0,1.823e-2,0.0001
66,7.35e+0,1.823e-2,0.0001
67,7.615e+0,3.09e-2,0.0001
68,7.914e+0,1.823e-2,0.0001
69,8.179e+0,1.823e-2,0.0001
70,8.395e+0,3.09e-2,0.0001
71,8.611e+0,4.358e-2,0.0001
72,8.727e+0,5.625e-2,0.0001
73,8.992e+0,5.625e-2,0.0001
74,9.125e+0,4.358e-2,0.0001
75,9.407e+0,3.09e-2,0.0001
76,9.656e+0,3.09e-2,0.0001
77,9.789e+0,1.823e-2,0.0001
78,9.888e+0,5.55e-3,0.0001
79,1e+1,-7.126e-3,0.0001
80,1.012e+1,-1.98e-2,0.0001
81,1.035e+1,-1.98e-2,0.0001
82,1.049e+1,-7.88e-4,0.0001
83,1.068e+1,3.724e-2,0.0001
84,1.085e+1,6.893e-2,0.0001
85,1.143e+1,6.893e-2,0.0001
86,1.16e+1,5.625e-2,0.0001
87,1.168e+1,4.358e-2,0.0001
88,1.178e+1,3.09e-2,0.0001
89,1.188e+1,1.823e-2,0.0001
90,1.203e+1,5.55e-3,0.0001
91,1.231e+1,1.823e-2,0.0001
92,1.244e+1,3.09e-2,0.0001
93,1.271e+1,4.358e-2,0.0001
94,1.319e+1,3.09e-2,0.0001
95,1.347e+1,3.09e-2,0.0001
96,1.372e+1,1.823e-2,0.0001
97,1.402e+1,1.823e-2,0.0001
98,1.419e+1,3.09e-2,0.0001
99,1.437e+1,4.358e-2,0.0001
100,1.462e+1,5.625e-2,0.0001
101,1.488e+1,6.893e-2,0.0001
102,1.51e+1,5.625e-2,0.0001
103,1.525e+1,4.358e-2,0.0001
104,1.548e+1,3.09e-2,0.0001
105,1.571e+1,1.823e-2,0.0001
106,1.588e+1,5.55e-3,0.0001
107,1.618e+1,-7.126e-3,0.0001
108,1.646e+1,5.55e-3,0.0001
109,1.663e+1,1.823e-2,0.0001
110,1.677e+1,3.09e-2,0.0001
111,1.692e+1,4.358e-2,0.0001
112,1.714e+1,5.625e-2,0.0001
113,1.732e+1,6.893e-2,0.0001
114,1.762e+1,5.625e-2,0.0001
115,1.777e+1,4.358e-2,0.0001
116,1.82e+1,4.358e-2,0.0001
117,1.847e+1,3.09e-2,0.0001
118,1.896e+1,1.823e-2,0.0001
119,1.931e+1,1.823e-2,0.0001
120,1.953e+1,3.09e-2,0.0001
121,1.971e+1,4.358e-2,0.0001
